puesto_trabajo,nombre_empresa,categoría,país,region_estado,salario,moneda_salario,periodo_salario,tipo_contrato,plataforma_origen,tipo_fuente_datos,enlace_oferta
Python Developer,Axiom Software Solutions Limited,Python Developer,United States,Texas,22596,USD,Anual,,Active Jobs,API,https://jobs.workable.com/view/7kNi3c7S8g8YTsbbJKc2up/python-developer-in-austin-at-axiom-software-solutions-limited
Python Developer,Axiom Software Solutions Limited,Python Developer,United States,Texas,36626,USD,Anual,,Active Jobs,API,https://jobs.workable.com/view/e5WjTtXpW9PtG9PP69K2P8/python-developer-in-austin-at-axiom-software-solutions-limited
Java Developer - Bilingual (English / Korean),"Woongjin, Inc",Java Developer,United States,California,46380,USD,Anual,Contract,Active Jobs,API,https://jobs.smartrecruiters.com/WJCompany/744000070134505-java-developer-bilingual-english-korean-
Java Developer - Bilingual (English / Korean),"Woongjin, Inc",Java Developer,United States,California,28956,USD,Anual,Contract,Active Jobs,API,https://jobs.smartrecruiters.com/WJCompany/744000070077285-java-developer-bilingual-english-korean-
Sr. Java Developer,Derex Technologies Inc,Java Developer,United States,Pennsylvania,34024,USD,Anual,Full-time,Active Jobs,API,https://jobs.smartrecruiters.com/DerexTechnologiesInc/744000070048085-sr-java-developer
Senior java developer with Spark - VP - TAMPA,Citi,Java Developer,United States,Florida,30225,USD,Anual,FULL_TIME,Active Jobs,API,https://citi.wd5.myworkdayjobs.com/2/job/Tampa-Florida-United-States/Lead-Full-stack-Java-developer---VP---TAMPA_25845821
Java Developer,Fiserv,Java Developer,United States,New Jersey,32373,USD,Anual,FULL_TIME,Active Jobs,API,https://fiserv.wd5.myworkdayjobs.com/EXT/job/Berkeley-Heights-New-Jersey/Java-Developer_R-10360341
Java Developer - Bilingual (English / Korean),"Woongjin, Inc",Java Developer,United States,California,46685,USD,Anual,Contract,Active Jobs,API,https://jobs.smartrecruiters.com/WJCompany/744000069942036-java-developer-bilingual-english-korean-
Technical Lead Java Developer,DTCC Candidate Experience Site,Java Developer,United States,Florida,37062,USD,Anual,Full time,Active Jobs,API,https://ebxr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/210496
Java Developer - Bilingual (English / Korean),"Woongjin, Inc",Java Developer,United States,California,30462,USD,Anual,Contract,Active Jobs,API,https://jobs.smartrecruiters.com/WJCompany/744000069854995-java-developer-bilingual-english-korean-
Entry Level Java Developer - MUST Be US Citizen With Active Secret Clearance!,EDC Consulting,Java Developer,United States,Ohio,20345,USD,Anual,Full-time,Active Jobs,API,https://jobs.smartrecruiters.com/EDCConsulting1/744000069799547-entry-level-java-developer-must-be-us-citizen-with-active-secret-clearance-
Senior Java Developer,Earnix,Java Developer,United States,Massachusetts,42991,USD,Anual,,Active Jobs,API,https://www.comeet.com/jobs/earnix/93.00B/senior-java-developer/B2.954
"Senior React Developer, App Studio Solutions",Tapcart Inc.,React Developer,United States,California,47558,USD,Anual,FULL_TIME,Active Jobs,API,https://jobs.ashbyhq.com/tapcart/dba706f3-f124-4262-b5fa-fe2705d33563
React Developer,SS&C Technologies,React Developer,United Kingdom,Staffordshire,29153,GBP,Mensual,FULL_TIME,Active Jobs,API,https://wd1.myworkdaysite.com/recruiting/ssctech/SSCTechnologies/job/Lichfield-UK/React-Developer_R35534
