puesto_trabajo,nombre_empresa,pais,region_estado,salario_minimo,salario_maximo,moneda_salario,periodo_salario,tipo_contrato,categoria,plataforma_origen,tipo_fuente_datos,enlace_oferta
Atencion al Cliente Bbva Con o Sin Experiencia Contrato a Dia 13,Konecta,Perú,"Lima, Lima",1130.0,1130.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-cliente-bbva-con-o-sin-experiencia-contrato-a-dia-13-descanso-los-domingos-turno-tarde-sede-centro-de-lima-en-lima-010F95621E7093D661373E686DCF3405#lc=ListOffers-Score3-16
Maquinista de Embolsado,AGROINDUSTRIAL MOLINOS TROPICAL,Perú,"Lambayeque, Lambayeque",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-maquinista-de-embolsado-empresa-molinera-lider-en-la-industria-arrocera-en-lambayeque-472B7400F1D2A95A61373E686DCF3405#lc=ListOffers-Score3-17
Almacenero inventario,Grupo Marathon,Perú,"Lima, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenero-inventario-cd-huachipa-en-lima-D6B17B10FE87CC9C61373E686DCF3405#lc=ListOffers-Score3-7
Últimos ciclos Y/O egresados Ingenieros industriales,,Perú,"San Isidro, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ultimos-ciclos-yo-egresados-ingenieros-industriales-san-isidro-en-san-isidro-A2017E2BCCAE149961373E686DCF3405#lc=ListOffers-Score3-19
Ing. de Planeación y Control,ABC MULTISERVICIOS GENERALES,Perú,"Razuri, La Libertad",5000.0,5000.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ing-de-planeacion-y-control-malabrigo-en-razuri-B8BE2D9C55D9C72861373E686DCF3405#lc=ListOffers-Score3-19
community manager,TOGASSERVICE,Perú,"Los Olivos, Lima",1800.0,1800.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-en-los-olivos-2AD52BC5D407A52B61373E686DCF3405#lc=ListOffers-Score0-15
Tecnico de calidad,Grupo Intercorp,Perú,"San Borja, Lima",1025.0,1025.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-calidad-villa-el-salvador-en-san-borja-F5EE1D2031371B5461373E686DCF3405#lc=ListOffers-Score3-1
¡Forma parte de Claro empresas y gana bonos + comisiones!,NEMO CONTACT CENTER E.I.R.L.,Perú,"San Juan De Lurigancho, Lima",565.0,565.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-forma-parte-de-claro-empresas-y-gana-bonos-comisiones-part-time-presencial-cs-experiencia-en-san-juan-de-lurigancho-7340DC58C74718F961373E686DCF3405#lc=ListOffers-Score3-15
Maniobrista,Raciemsa,Perú,"Yura, Arequipa",1800.0,1800.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-maniobrista-rigger-en-yura-890EE0AAA2D060C861373E686DCF3405#lc=ListOffers-Score3-16
Admisionista (Empresa del sector salud y diagnóstico),Adecco Perú S.A.,Perú,"San Isidro, Lima",1500.0,1500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-admisionista-empresa-del-sector-salud-y-diagnostico-san-isidro-postula-ya-en-san-isidro-0CFF4413237E448461373E686DCF3405#lc=ListOffers-Score3-7
redactor/a,TESIS & ASESORIAS CECAGEM S.A.C.S.,Perú,"Huancayo, Junin",1130.0,1130.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-redactora-tiempo-completo-en-huancayo-2D37B65528B8546161373E686DCF3405#lc=ListOffers-Score0-6
Tecnico de electricidad,Grupo Educa_d,Perú,"Los Olivos, Lima",2500.0,2500.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-electricidad-villa-en-los-olivos-3CD4973825DA277561373E686DCF3405#lc=ListOffers-Score0-11
Ayudantes de produccion / turno 12 horas (4 dias),Concyssa Industrial S.A.C,Perú,"Lima, Lima",1400.0,1400.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ayudantes-de-produccion-turno-12-horas-4-dias-descanso-domingos-en-lima-3ABA17192722DA7261373E686DCF3405#lc=ListOffers-Score0-3
Asesor de Relaciones Empresariales,,Perú,"Santiago De Surco, Lima",2000.0,2000.0,PEN,Mensual,Presencial y remoto,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-relaciones-empresariales-lima-y-cajamarca-en-santiago-de-surco-379ACE3EB506CAA861373E686DCF3405#lc=ListOffers-Score3-5
Ejecutivo Corporativo / Medios de Pago Culqi / Salario mayor a S/. 4500,Automatizate Negocios,Perú,"Miraflores, Lima",1200.0,1200.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-corporativo-medios-de-pago-culqi-salario-mayor-a-s-4500-medios-de-pago-pos-en-miraflores-E7ECE596D064E58961373E686DCF3405#lc=ListOffers-Score3-11
"Estudiantes de Administración, informática, sistemas para “Atención y soporte al estudiante”",ESCUELA EMPRESARIAL DEL PERU - ESEP,Perú,"San Miguel, Lima",1130.0,1130.0,PEN,Mensual,,Full Stack Developer,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-estudiantes-de-administracion-informatica-sistemas-para-atencion-y-soporte-al-estudiante-turnos-mt-en-san-miguel-75575E68F492CFC961373E686DCF3405#lc=ListOffers-Score0-11
