habilidad_especifica,habilidad,tipo_recurso,titulo,url,habilidad_especifica
General,Books to Scrape,Libro,Sapiens: A Brief History ...,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,General
General,Books to Scrape,Libro,The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,General
General,Books to Scrape,Libro,The Dirty Little Secrets ...,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,General
General,Books to Scrape,Libro,The Coming Woman: A ...,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,General
General,Books to Scrape,Libro,The Boys in the ...,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,General
General,Books to Scrape,Libro,The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,General
Desarrollo Web,Books to Scrape,Libro,Starving Hearts (Triangular Trade ...,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Desarrollo Web
General,Books to Scrape,Libro,Shakespeare's Sonnets,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,General
General,Books to Scrape,Libro,Set Me Free,http://books.toscrape.com/catalogue/set-me-free_988/index.html,General
General,Books to Scrape,Libro,Scott Pilgrim's Precious Little ...,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,General
General,Books to Scrape,Libro,Rip it Up and ...,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,General
General,Books to Scrape,Libro,Our Band Could Be ...,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,General
General,Books to Scrape,Libro,Olio,http://books.toscrape.com/catalogue/olio_984/index.html,General
General,Books to Scrape,Libro,Mesaerion: The Best Science ...,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,General
General,Books to Scrape,Libro,Libertarianism for Beginners,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,General
