habilidad_general,url
Gestión de Proyectos,https://www.coursera.org/learn/uva-darden-getting-started-agile
Ciencia de Datos,https://www.coursera.org/learn/mooc-business-intelligence
JavaScript,https://www.coursera.org/learn/react-basics
Programación General,https://www.coursera.org/learn/arduino-platform
Marketing Digital,https://www.coursera.org/learn/inteligencia-artificial-aplicada-al-marketing
"Programación General, Python",https://www.coursera.org/learn/python-programming-intro
Machine Learning / IA,https://www.coursera.org/learn/ia-en-la-participacin-de-los-aficionados
Machine Learning / IA,https://www.coursera.org/learn/fundamentos-del-uso-de-ia-generativa
Cloud Computing,https://www.coursera.org/learn/microsoft-azure-cloud-services
Machine Learning / IA,https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals
Marketing Digital,https://www.coursera.org/learn/seo-fundamentals
Python,https://www.coursera.org/learn/python-text-mining
Redes,https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans
Gestión de Proyectos,https://www.coursera.org/learn/agile-development-and-scrum
Estadística y Probabilidad,https://www.coursera.org/learn/estadistica-probabilidad
Psicología,https://www.coursera.org/learn/positive-psychology-resilience
Machine Learning / IA,https://www.coursera.org/learn/ai-business-future-of-work
Marketing Digital,https://www.coursera.org/learn/digital-marketing-revolution
Python,https://www.coursera.org/learn/data-collection-processing-python
"Desarrollo de Videojuegos, Programación General",https://www.coursera.org/learn/introduction-programming-unity
JavaScript,https://www.coursera.org/learn/advanced-react
JavaScript,https://www.coursera.org/learn/javascript
Sistemas Operativos,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting
Filosofía,https://www.coursera.org/learn/plato
Marketing Digital,https://www.coursera.org/learn/marketing-analytics
Machine Learning / IA,https://www.coursera.org/learn/ai-law
Ciencia de Datos,https://www.coursera.org/learn/dataviz-design
Psicología,https://www.coursera.org/learn/positive-psychology-applications
Matemáticas,https://www.coursera.org/learn/matrix-algebra-engineers
Machine Learning / IA,https://www.coursera.org/learn/ai-for-everyone-es
"Ciberseguridad, Sistemas Operativos",https://www.coursera.org/learn/introduction-to-computers-and-operating-systems-and-security
"Ciencia de Datos, Marketing Digital",https://www.coursera.org/learn/marketing-analytics-foundation
Finanzas y Contabilidad,https://www.coursera.org/learn/uva-darden-managerial-accounting
"Marketing Digital, Redes",https://www.coursera.org/learn/measure-and-optimize-social-media-marketing-campaigns
"Machine Learning / IA, Python",https://www.coursera.org/learn/python-project-for-ai-application-development
Python,https://www.coursera.org/learn/python-classes-inheritance
Diseño Gráfico,https://www.coursera.org/learn/presentation-design
Marketing Digital,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing
Machine Learning / IA,https://www.coursera.org/learn/introduction-to-generative-ai-for-software-development
"Python, Redes",https://www.coursera.org/learn/python-social-network-analysis
"Programación General, Python",https://www.coursera.org/learn/raspberry-pi-platform
