habilidad,tipo_recurso,titulo,url
Hacker News,Artículo,Bootstrapping a side project into a profitable seven-figure business,https://projectionlab.com/blog/we-reached-1m-arr-with-zero-funding
Hacker News,Artículo,"Phrase origin: Why do we ""call"" functions?",https://quuxplusone.github.io/blog/2025/04/04/etymology-of-call/
Hacker News,Artículo,Galiliean-invariant cosmological hydrodynamical simulations on a moving mesh,https://wwwmpa.mpa-garching.mpg.de/~volker/arepo/
Hacker News,Artículo,7-Zip for Windows can now use more than 64 CPU threads for compression,https://www.7-zip.org/history.txt
Hacker News,Artículo,IKEA ditches Zigbee for Thread going all in on Matter smart homes,https://www.theverge.com/smart-home/701697/ikea-matter-thread-new-products-new-smart-home-strategy
Hacker News,Artículo,RapidRAW: A non-destructive and GPU-accelerated RAW image editor,https://github.com/CyberTimon/RapidRAW
Hacker News,Artículo,Florida is letting companies make it harder for highly paid workers to swap jobs,https://www.businessinsider.com/florida-made-it-harder-highly-paid-workers-to-swap-jobs-2025-7
Hacker News,Artículo,Breaking Git with a carriage return and cloning RCE,https://dgl.cx/2025/07/git-clone-submodule-cve-2025-48384
Hacker News,Artículo,Astro is a return to the fundamentals of the web,https://websmith.studio/blog/astro-is-a-developers-dream/
Hacker News,Artículo,Using MPC for Anonymous and Private DNA Analysis,https://vishakh.blog/2025/07/08/using-mpc-for-anonymous-and-private-dna-analysis/
Hacker News,Artículo,A Emoji Reverse Polish Notation Calculator Written in COBOL,https://github.com/ghuntley/cobol-emoji-rpn-calculator
Hacker News,Artículo,Where can I see Hokusai's Great Wave today?,https://greatwavetoday.com/
Hacker News,Artículo,ESIM Security,https://security-explorations.com/esim-security.html
Hacker News,Artículo,"Frame of preference A history of Mac settings, 1984–2004",https://aresluna.org/frame-of-preference/
Hacker News,Artículo,I'm Building LLM for Satellite Data EarthGPT.app,https://www.earthgpt.app/
Hacker News,Artículo,Nvidia Becomes First Company to Reach $4T Market Cap,https://www.cnbc.com/2025/07/09/nvidia-4-trillion.html
Hacker News,Artículo,Supabase MCP can leak your entire SQL database,https://www.generalanalysis.com/blog/supabase-mcp-blog
Hacker News,Artículo,"Smollm3: Smol, multilingual, long-context reasoner LLM",https://huggingface.co/blog/smollm3
Hacker News,Artículo,I Ported SAP to a 1976 CPU. It Wasn't That Slow,https://github.com/oisee/zvdb-z80/blob/master/ZVDB-Z80-ABAP.md
Hacker News,Artículo,Zorin OS,https://zorin.com/os/
Hacker News,Artículo,Jurisdiction Is Nearly Irrelevant to the Security of Encrypted Messaging Apps,https://soatok.blog/2025/07/09/jurisdiction-is-nearly-irrelevant-to-the-security-of-encrypted-messaging-apps/
