puesto_trabajo,nombre_empresa,pais,region_estado,categoria_busqueda,tipo_contrato,salario,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Consultor(a) Senior de Gestión de Identidades (IAM),Deloitte & Co S.R.L.,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,"$ 700.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-consultora-senior-de-gestion-de-identidades-iam-en-bogota-dc-4DCC32816B5DB42361373E686DCF3405#lc=ListOffers-Score3-10
Técnico de Soporte IT,SOLVO S.A.S,co,"Cali, Valle del Cauca",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-soporte-it-en-cali-549E3989013BA48961373E686DCF3405#lc=ListOffers-Score3-11
Practicante control interno,Grupo emi S.A.S,co,"Medellín, Antioquia",sql,NA,"$ 1.486.800,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-control-interno-medellin-en-medellin-E36F5DA093EAEEC261373E686DCF3405#lc=ListOffers-Score3-12
Analista de Soporte SSC,Gestión Profesional S.A.S,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,"$ 1.425.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-ssc-bogota-urgente-en-bogota-dc-DD59912CBB3FE1D661373E686DCF3405#lc=ListOffers-Score3-13
Desarrollador Aveva Bilingüe,SOLVO S.A.S,co,"Cali, Valle del Cauca",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-aveva-bilingue-en-cali-5F02732C997B96CC61373E686DCF3405#lc=ListOffers-Score3-14
Big Data Developer (PySpark) / Inglés B2,Adecco Colombia S.A.,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-big-data-developer-pyspark-ingles-b2-remotohibrido-en-bogota-dc-411C93B4E53730CC61373E686DCF3405#lc=ListOffers-Score3-15
Desarrollador Fullstack Ux Technology,RÉDITOS EMPRESARIALES S.A,co,"Medellín, Antioquia",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-ux-technology-en-medellin-5CCD8014C1F5019F61373E686DCF3405#lc=ListOffers-Score3-16
Profesional Cuentas por Pagar,Soluciones Inmediatas,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,"$ 4.248.525,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesional-cuentas-por-pagar-en-bogota-dc-195E5F879E56F44761373E686DCF3405#lc=ListOffers-Score3-17
Practicante Universitario de Experiencia a Clientes,SIIGO S.A.S,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-universitario-de-experiencia-a-clientes-remoto-en-bogota-dc-F747A1D93D66CE0361373E686DCF3405#lc=ListOffers-Score3-18
Trabajo Desde Casa Python Backend Tech Lead / Investigación + Desarrollo / Ref. 0071,BairesDev LLC,co,"Cartagena de Indias, Bolívar",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-python-backend-tech-lead-investigacion-desarrollo-ref-0071-en-cartagena-de-indias-CCFB3446A13B627E61373E686DCF3405#lc=ListOffers-Score3-19
Trabajo Desde Casa Desarrollador Backend Junior Python / Investigación + Desarrollo / Ref. 0071,BairesDev LLC,co,"Cartagena de Indias, Bolívar",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-backend-junior-python-investigacion-desarrollo-ref-0071-en-cartagena-de-indias-80DD9EECDF5521D461373E686DCF3405#lc=ListOffers-Score3-0
Trabajo Desde Casa Desarrollador Fullstack .NET + Angular / Investigación y Desarrollo / Ref. 0001,BairesDev LLC,co,"Cartagena de Indias, Bolívar",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-fullstack-net-angular-investigacion-y-desarrollo-ref-0001-en-cartagena-de-indias-6A11CCFF4E98975861373E686DCF3405#lc=ListOffers-Score3-1
Analista TI,C.I. FAJAS MYD COLOMBIA S.A.S.,co,"Medellín, Antioquia",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-ti-analista-de-sistemas-tecnologia-en-medellin-5692B3EDB59BC36761373E686DCF3405#lc=ListOffers-Score3-2
Trabajo Desde Casa Fullstack .NET + Angular / I + D / Ref. 0001,BairesDev LLC,co,"Cartagena de Indias, Bolívar",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-fullstack-net-angular-i-d-ref-0001-en-cartagena-de-indias-A9658E659C7B480361373E686DCF3405#lc=ListOffers-Score3-3
Ingeniero Desarrollador Full Stack,NA,co,"Medellín, Antioquia",sql,NA,"$ 7.474.170,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-desarrollador-full-stack-en-medellin-7968A126905FD28561373E686DCF3405#lc=ListOffers-Score3-4
Trabajo Desde Casa DevOps / I+D / Ref. 0121,BairesDev LLC,co,"Cartagena de Indias, Bolívar",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-devops-id-ref-0121-en-cartagena-de-indias-6774D5B410C9128361373E686DCF3405#lc=ListOffers-Score3-5
Trabajo Desde Casa Ingeniero Angular / Ref. 0615,BairesDev LLC,co,"Tunja, Boyacá",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-angular-ref-0615-en-tunja-DF9D4654F844119761373E686DCF3405#lc=ListOffers-Score3-6
Trabajo Desde Casa Analista de Datos Senior / Ref. 1028,BairesDev LLC,co,"Tunja, Boyacá",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-analista-de-datos-senior-ref-1028-en-tunja-355D76FDCCF0460961373E686DCF3405#lc=ListOffers-Score3-7
Work From Home DevOps Tech Lead / R+D / Ref. 0121,BairesDev LLC,co,"Tunja, Boyacá",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-devops-tech-lead-rd-ref-0121-en-tunja-E6ED0EF0F026021961373E686DCF3405#lc=ListOffers-Score3-8
ingeniero sistemas,Cali Software S.A.,co,"Cali, Valle del Cauca",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-sistemas-en-cali-587C01A82F50706861373E686DCF3405#lc=ListOffers-Score3-9
Ingeniero de Datos,CUN,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,"$ 5.000.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-datos-bogota-en-bogota-dc-F36D26B84B5E0B6E61373E686DCF3405#lc=ListOffers-Score3-10
Support Agent,Mensajeros Urbanos,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-support-agent-lunes-a-sabado-en-bogota-dc-D3BBAC4DF82145C461373E686DCF3405#lc=ListOffers-Score3-11
Desarrollador,NA,co,"Cali, Valle del Cauca",sql,NA,"$ 1.900.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-en-cali-ABAA3F5FFEAD204C61373E686DCF3405#lc=ListOffers-Score3-12
Analista de sistemas y Soporte IT,International Parts Service (IPS) Ltda,co,"Mosquera, Cundinamarca",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemas-y-soporte-it-mosquera-en-mosquera-4897A0A125A6B2AD61373E686DCF3405#lc=ListOffers-Score3-13
Desarrollador tic,NA,co,"Envigado, Antioquia",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-tic-medellin-en-envigado-B1EBE51E767797EB61373E686DCF3405#lc=ListOffers-Score3-14
Ing Soporte A Desarrollo .Net,Mainsoft LTDA,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ing-soporte-a-desarrollo-net-bogota-en-bogota-dc-728289373267881761373E686DCF3405#lc=ListOffers-Score3-15
Analista estadístico que viva en chía,Productividad Empresarial SAS,co,"Chía, Cundinamarca",sql,NA,"$ 4.000.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-estadistico-que-viva-en-chia-en-chia-BD8F427A712A4CF461373E686DCF3405#lc=ListOffers-Score3-16
Java Application Support Engineer,Sutherland Global Services SGS,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,"$ 5.500.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-java-application-support-engineer-bilingual-en-bogota-dc-DC7791BF7BDEC7C061373E686DCF3405#lc=ListOffers-Score3-17
Software Implementation Engineer,Sutherland Global Services SGS,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,"$ 4.249.998,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-software-implementation-engineer-bilingual-en-bogota-dc-98CD56562A8C7B0C61373E686DCF3405#lc=ListOffers-Score3-18
Ingeniero/a de Datos,NA,co,"Medellín, Antioquia",sql,NA,"$ 8.000.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingenieroa-de-datos-en-medellin-7E164D4A2E9E5F9D61373E686DCF3405#lc=ListOffers-Score3-19
Jefe de Informática y Tecnología,RECURSIVOS SERVIAYUDA S.A.S,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-informatica-y-tecnologia-zona-industrial-siberia-en-bogota-dc-5DA239C1ECF4B6E661373E686DCF3405#lc=ListOffers-Score3-0
Ingeniero de Desarrollo,Pollo Olimpico S.A.,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-desarrollo-empresa-avicola-en-bogota-dc-64E54B8A9F8CE17161373E686DCF3405#lc=ListOffers-Score3-1
Data Engineer Senior,Adecco Colombia S.A.,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-data-engineer-senior-en-bogota-dc-056F860A69F755AC61373E686DCF3405#lc=ListOffers-Score3-2
Desarrollador Android  full stack Kotlin,NA,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-android-full-stack-kotlin-en-bogota-dc-D1A2DB59BF43E2D961373E686DCF3405#lc=ListOffers-Score3-3
Analista De Sistemas,NA,co,"Yumbo, Valle del Cauca",sql,NA,"$ 2.142.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemas-yumbo-valle-del-cauca-en-yumbo-DB909847AEF2D7AF61373E686DCF3405#lc=ListOffers-Score3-4
Ingeniero de TI,JOHANNA ORTIZ ZONA FRANCA SAS,co,"Cali, Valle del Cauca",sql,NA,"$ 3.500.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-ti-cali-en-cali-4838F8D3A6709D2D61373E686DCF3405#lc=ListOffers-Score3-5
Work From Home AngularJS Developer / Ref. 0106,BairesDev LLC,co,"Barranquilla, Atlántico",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-angularjs-developer-ref-0106-en-barranquilla-AD8EC7C27BB64EFA61373E686DCF3405#lc=ListOffers-Score3-6
Trabajo Desde Casa Gerente de Ingeniería Análitica / Ref. 0078,BairesDev LLC,co,"Barranquilla, Atlántico",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-gerente-de-ingenieria-analitica-ref-0078-en-barranquilla-7DDB98209B54928661373E686DCF3405#lc=ListOffers-Score3-7
Work From Home Senior Python Backend Developer / Research + Development / Ref. 0071,BairesDev LLC,co,"Barranquilla, Atlántico",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-senior-python-backend-developer-research-development-ref-0071-en-barranquilla-C8FFF8CCE1CF026161373E686DCF3405#lc=ListOffers-Score3-8
Trabajo Desde Casa Senior DevOps / I+D / Ref. 0121,BairesDev LLC,co,"Barranquilla, Atlántico",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-senior-devops-id-ref-0121-en-barranquilla-F2E0A217980D292B61373E686DCF3405#lc=ListOffers-Score3-9
Work From Home Junior Python Backend Developer / Research + Development / Ref. 0071,BairesDev LLC,co,"Barranquilla, Atlántico",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-junior-python-backend-developer-research-development-ref-0071-en-barranquilla-D0C1216741B228A461373E686DCF3405#lc=ListOffers-Score3-10
Trabajo Desde Casa Ingeniero de Plataforma de Datos / Ref. 0339,BairesDev LLC,co,"Barranquilla, Atlántico",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-de-plataforma-de-datos-ref-0339-en-barranquilla-641A244132C06DDC61373E686DCF3405#lc=ListOffers-Score3-11
Trabajo Desde Casa Desarrollador .NET / Ref. 0001,BairesDev LLC,co,"Barranquilla, Atlántico",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-net-ref-0001-en-barranquilla-9AEF6140F370AA3C61373E686DCF3405#lc=ListOffers-Score3-12
Desarrollador,Health & Life Ips,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,"$ 3.000.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-en-bogota-dc-71ACFF016C61409A61373E686DCF3405#lc=ListOffers-Score3-13
Analista de datos / analista de información senior,Job&Talent,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,"$ 2.340.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-analista-de-informacion-senior-en-bogota-dc-07990DFF6EFB051461373E686DCF3405#lc=ListOffers-Score3-14
Tecnólogo de Sistemas Rotativo,VIDAMEDICAL IPS S.A.S,co,"Cúcuta, Norte de Santander",sql,NA,"$ 1.800.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnologo-de-sistemas-rotativo-en-cucuta-BFCFECBF5A212D6961373E686DCF3405#lc=ListOffers-Score3-15
Si te apasiona el análisis de datos y tienes que hacer tus prácticas profesionales,Jazzplat Colombia S.A.S.,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-si-te-apasiona-el-analisis-de-datos-y-tienes-que-hacer-tus-practicas-profesionales-te-estamos-buscando-aplica-ya-en-bogota-dc-A805D86E9EFCCE5A61373E686DCF3405#lc=ListOffers-Score3-16
WordPress Full Stack Developer,Salvatech,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-wordpress-full-stack-developer-en-bogota-dc-CF58E46CE772FA0A61373E686DCF3405#lc=ListOffers-Score3-17
Analista Desarrollo software,COMPAÑIA DE EMPAQUES,co,"Itagüí, Antioquia",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-desarrollo-software-ingeniero-desarrollo-de-software-en-itagui-A0C823F7356DD02761373E686DCF3405#lc=ListOffers-Score3-18
Ingeniero de Desarrollo / Programador,La Riviera S.A.S,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-desarrollo-programador-en-bogota-dc-F200AA06383B300461373E686DCF3405#lc=ListOffers-Score3-19
Coordinador de inteligencia e integración de datos,NA,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,"$ 6.500.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-inteligencia-e-integracion-de-datos-bilingue-en-bogota-dc-9D53BB635CE0CBA961373E686DCF3405#lc=ListOffers-Score3-0
analista de datos,LIQUITTY COLOMBIA - CIBERGESTION COLOMBIA.,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,"$ 4.036.500,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-en-bogota-dc-687601075602BAA661373E686DCF3405#lc=ListOffers-Score3-1
Analista BI,NA,co,"Bogotá, D.C., Bogotá, D.C.",sql,Presencial y remoto,"$ 2.000.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-bi-en-bogota-dc-D125E7627AD307C061373E686DCF3405#lc=ListOffers-Score3-2
Ingeniero de Soporte de Software y TI / Bilingüe,BDO AUDIT S A,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-soporte-de-software-y-ti-bilingue-en-bogota-dc-1BA022833E28F82361373E686DCF3405#lc=ListOffers-Score3-3
Desarrollador Web,Tres HTP Colombia S.A.S.,co,"Medellín, Antioquia",sql,Presencial y remoto,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-web-cloud-en-medellin-07153626FFF55D8C61373E686DCF3405#lc=ListOffers-Score3-4
Desarrollador GeneXus,SOLVO S.A.S,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-genexus-en-bogota-dc-5EB9C43F81DE86C161373E686DCF3405#lc=ListOffers-Score3-5
"Haz tus prácticas en análisis de datos, big data, automatización",Jazzplat Colombia S.A.S.,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-haz-tus-practicas-en-analisis-de-datos-big-data-automatizacion-te-estamos-buscando-aplica-ya-en-bogota-dc-C3EDC84345009E5F61373E686DCF3405#lc=ListOffers-Score3-6
Analista Excel Avanzado y Power Bi,Alianza Temporal S.A.S,co,"Barranquilla, Atlántico",sql,NA,"$ 1.700.000,00 (Mensual)",COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-excel-avanzado-y-power-bi-barranquilla-en-barranquilla-32800DB6CD71F2E261373E686DCF3405#lc=ListOffers-Score3-7
"Analista de planeación retail, con exp de 2 años o 1 año si es en retail.",AGENCIA DE EMPLEO COMFAMA,co,"Envigado, Antioquia",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-planeacion-retail-con-exp-de-2-anos-o-1-ano-si-es-en-retail-en-envigado-A8724DCDCCBBB86861373E686DCF3405#lc=ListOffers-Score3-8
Trabajo Desde Casa Analista de Business Intelligence / Ref. 0078S,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-analista-de-business-intelligence-ref-0078s-en-bogota-dc-175413BCA9B7D78B61373E686DCF3405#lc=ListOffers-Score3-9
Work From Home Business Intelligence Analyst / Ref. 0078,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-business-intelligence-analyst-ref-0078-en-bogota-dc-7D51333238822B1061373E686DCF3405#lc=ListOffers-Score3-10
Trabajo Desde Casa Analista de Datos de Desarrollo de Negocio / Ref. 0244,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-analista-de-datos-de-desarrollo-de-negocio-ref-0244-en-bogota-dc-6EDD1ADDD5E4AF4261373E686DCF3405#lc=ListOffers-Score3-11
Work From Home Applied Data Scientist / Ref. 0960,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-applied-data-scientist-ref-0960-en-bogota-dc-408871129DCDB4B761373E686DCF3405#lc=ListOffers-Score3-12
Work From Home Senior .NET Developer / R + D / Ref. 0001,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-senior-net-developer-r-d-ref-0001-en-bogota-dc-A60AD9BC3001457F61373E686DCF3405#lc=ListOffers-Score3-13
Trabajo Desde Casa Científico de Datos Senior / Ref. 0960,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-cientifico-de-datos-senior-ref-0960-en-bogota-dc-5F8DA3700A26A1B561373E686DCF3405#lc=ListOffers-Score3-14
Trabajo Desde Casa Desarollador Angular Senior / I + D / Ref. 0615,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarollador-angular-senior-i-d-ref-0615-en-bogota-dc-DFEF024BA6CD97F161373E686DCF3405#lc=ListOffers-Score3-15
Desarrollador Aveva Bilingüe,SOLVO S.A.S,co,"Medellín, Antioquia",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-aveva-bilingue-en-medellin-266DBC26ACDBB02A61373E686DCF3405#lc=ListOffers-Score3-16
Trabajo Desde Casa Ingeniero en Análisis Senior / Ref. 0960,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-ingeniero-en-analisis-senior-ref-0960-en-bogota-dc-3CFB36556F3129D861373E686DCF3405#lc=ListOffers-Score3-17
Trabajo Desde Casa Desarrollador Python Backend / Investigación y Desarrollo / Ref. 0071,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-python-backend-investigacion-y-desarrollo-ref-0071-en-bogota-dc-D424B53E6AB3928761373E686DCF3405#lc=ListOffers-Score3-18
Trabajo Desde Casa Desarrollador Junior/MidLevel .NET / I + D / Ref. 0001,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-juniormidlevel-net-i-d-ref-0001-en-bogota-dc-F673EAFF99FE12E861373E686DCF3405#lc=ListOffers-Score3-19
Work From Home Junior/MidLevel .NET Developer / R + D / Ref. 0001,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-juniormidlevel-net-developer-r-d-ref-0001-en-bogota-dc-063B17AC9891695761373E686DCF3405#lc=ListOffers-Score3-0
Work From Home Junior Data Analytics / R+D / Ref. 1028,BairesDev LLC,co,"Bogotá, D.C., Bogotá, D.C.",sql,NA,NA,COP,Mensual,Computrabajo,Web Scraping,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-junior-data-analytics-rd-ref-1028-en-bogota-dc-778C2FE7BFB3F56461373E686DCF3405#lc=ListOffers-Score3-1
