puesto_trabajo,nombre_empresa,pais,region_estado,categoria_busqueda,tipo_contrato,salario,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Analista de Soporte de Aplicaciones y BD,Consulting Advisers,pe,"San Isidro, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-de-aplicaciones-y-bd-en-san-isidro-96E85118B9984F9161373E686DCF3405#lc=ListOffers-Score4-15
Analista Comercial / Power BI nivel intermedio / Excel y SQL avanzado,Grupo Tawa,pe,"San Isidro, Lima",sql,NA,"S/. 2.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-comercial-power-bi-nivel-intermedio-excel-y-sql-avanzado-en-san-isidro-AC64F47563997A5E61373E686DCF3405#lc=ListOffers-Score4-16
Programador Web ERP,Soluciones en Informática S.A.,pe,"Miraflores, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-web-erp-php-sql-serverpostgresql-en-miraflores-6ED3ACF0F557FEFB61373E686DCF3405#lc=ListOffers-Score4-17
Programador Web PHP/JAVA/ .NET MySQL/SQL,GAF Computers & Systems S.A.,pe,"Chorrillos, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-web-phpjava-net-mysqlsql-en-chorrillos-E41B6F5DF05E135961373E686DCF3405#lc=ListOffers-Score4-18
Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,pe,"Santiago De Surco, Lima",sql,NA,"S/. 5.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-proyectos-de-tecnologia-y-transformacion-digital-cajamarca-en-santiago-de-surco-57329825DFFCAC2861373E686DCF3405#lc=ListOffers-Score3-19
Analista de Experiencia del Cliente,NA,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-experiencia-del-cliente-en-lima-7F46579D31C914E361373E686DCF3405#lc=ListOffers-Score3-0
Business Specialist Advanced,Adecco Perú S.A.,pe,"Chorrillos, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-business-specialist-advanced-bcp-chorrillos-en-chorrillos-9905A4DF6D67600761373E686DCF3405#lc=ListOffers-Score3-1
Banco Falabella / Analista de Oficialía de Cumplimiento Temporal,FALABELLA CORPORATIVO PERÚ,pe,"Lima, Lima",sql,Presencial y remoto,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-banco-falabella-analista-de-oficialia-de-cumplimiento-temporal-en-lima-C8C6E1056AB42F1A61373E686DCF3405#lc=ListOffers-Score3-2
Asistente de Operaciones de Almacén / Lurín / Excel Intermedio,Overall Strategy,pe,"Santiago De Surco, Lima",sql,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-operaciones-de-almacen-lurin-excel-intermedio-en-santiago-de-surco-AFA855C486B16B0661373E686DCF3405#lc=ListOffers-Score3-3
Practicante Profesional de Inteligencia Comercial / Tottus,FALABELLA CORPORATIVO PERÚ,pe,"Lima, Lima",sql,NA,"S/. 1.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-de-inteligencia-comercial-tottus-en-lima-8742F3C78E97814661373E686DCF3405#lc=ListOffers-Score3-4
