puesto_trabajo,nombre_empresa,pais,region_estado,tipo_contrato,salario_minimo,salario_maximo,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Practicante de Derecho con Experiencia en Cobranza Judicial,CONTACTA Y NEGOCIA S.A.C.,Perú,"Miraflores, Lima",NA,"S/. 1.130,00 (Mensual)","S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-derecho-con-experiencia-en-cobranza-judicial-miraflores-lima-en-miraflores-04A4B7EE2F95813D61373E686DCF3405#lc=ListOffers-Score3-13
Call Center Atención al Cliente / Seguimiento de Pedidos / Sueldo fijo1200/  11:00am a 8:00pm,Green Electronics,Perú,"La Victoria, Lima",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-call-center-atencion-al-cliente-seguimiento-de-pedidos-sueldo-fijo1200-1100am-a-800pm-la-victoria-en-la-victoria-3234E1F980070D4661373E686DCF3405#lc=ListOffers-Score3-14
Asesores TC / Call Center,NA,Perú,"La Victoria, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesores-tc-call-center-sueldo-fijo-comisiones-en-la-victoria-78D66B9A34F3C94761373E686DCF3405#lc=ListOffers-Score3-15
Asistente de Administración de Personal / Recursos Humanos,NA,Perú,"Santa Anita, Lima",NA,"S/. 1.600,00 (Mensual)","S/. 1.600,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-administracion-de-personal-recursos-humanos-sede-santa-anita-en-santa-anita-505C4D266A20988E61373E686DCF3405#lc=ListOffers-Score3-16
Asistente de Soporte de Producto,ALMACENES SANTA CLARA,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-de-producto-en-ate-A71AF541B54A12E661373E686DCF3405#lc=ListOffers-Score3-17
Alto Trujillo: Asesor negocios crédito individual // Analista de créditos,Compartamos Banco,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-alto-trujillo-asesor-negocios-credito-individual-analista-de-creditos-alto-trujillo-en-trujillo-16DB5499A9A03AD361373E686DCF3405#lc=ListOffers-Score3-18
El Porvenir: Asesor negocios crédito individual // Analista de créditos,Compartamos Banco,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-el-porvenir-asesor-negocios-credito-individual-analista-de-creditos-el-porvenir-en-trujillo-D022932045FA36FB61373E686DCF3405#lc=ListOffers-Score3-19
Aprendiz conductor / Turno Mañana / Part Time Línea 1 Metro de Lima,Grupo Aenza,Perú,"Villa El Salvador, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-aprendiz-conductor-turno-manana-part-time-linea-1-metro-de-lima-en-villa-el-salvador-8AF96FD0FAAB13E861373E686DCF3405#lc=ListOffers-Score3-0
Analista Jr de Tesoreria,NA,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-jr-de-tesoreria-en-santiago-de-surco-7A157D4A60D272BF61373E686DCF3405#lc=ListOffers-Score3-1
Analista de crédito con experiencia / Agencia Quebrada,CAJA AREQUIPA,Perú,"Santa Ana, Cusco",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-credito-con-experiencia-agencia-quebrada-quebrada-en-santa-ana-DDBE848B48E1C5CE61373E686DCF3405#lc=ListOffers-Score3-2
Administrador hotel,CONSORCIO QUIMICOS IMPORT E.I.R.L.,Perú,"Lima, Lima",NA,"S/. 3.000,00 (Mensual)","S/. 3.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrador-hotel-hotel-grupo-inkari-en-lima-1AECEC5962B3945A61373E686DCF3405#lc=ListOffers-Score3-3
Analista de crédito con experiencia / Agencia Santo Tomás,CAJA AREQUIPA,Perú,"Santo Tomas, Cusco",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-credito-con-experiencia-agencia-santo-tomas-santa-tomas-en-santo-tomas-0492643136C9C00061373E686DCF3405#lc=ListOffers-Score3-4
Auxiliar de Controlling,Life Beauty Corporation,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-controlling-en-san-isidro-26F9848A44452B4861373E686DCF3405#lc=ListOffers-Score3-5
Ejecutivos de ventas / Movistar empresas / horario de oficina / S/. 1200 + comisiones ilimitadas,SAFE LOGISTICA E.I.R.L,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivos-de-ventas-movistar-empresas-horario-de-oficina-s-1200-comisiones-ilimitadas-en-chiclayo-4064331291175AE061373E686DCF3405#lc=ListOffers-Score3-6
Recepcionista Multifuncional,MONTALVO,Perú,"Lima, Lima",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-recepcionista-multifuncional-en-lima-C89FDDDF9D6AAC7161373E686DCF3405#lc=ListOffers-Score3-7
Asistente de Almacén / Villa El Salvador,Manpower,Perú,"Villa El Salvador, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-almacen-villa-el-salvador-eps-y-alimentacion-cubierta-en-villa-el-salvador-DB042FC0069F2BAA61373E686DCF3405#lc=ListOffers-Score3-8
Asistente de ventas / sede Salamanca,MONTALVO INSTITUTE CORP SAC,Perú,"Ate, Lima",NA,"S/. 1.300,00 (Mensual)","S/. 1.300,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-ventas-sede-salamanca-en-ate-401C6528591C66F361373E686DCF3405#lc=ListOffers-Score3-9
Asistente de ventas / sede Lince,MONTALVO INSTITUTE CORP SAC,Perú,"Lima, Lima",NA,"S/. 1.300,00 (Mensual)","S/. 1.300,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-ventas-sede-lince-en-lima-FBA889E8B6F4605D61373E686DCF3405#lc=ListOffers-Score3-10
Conductores A1 y A2B,M&M SERVICIOS MOTORIZADOS SAC,Perú,"Lima, Lima",NA,"S/. 1.500,00 (Mensual)","S/. 1.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-conductores-a1-y-a2b-urgente-en-lima-A61849070256311361373E686DCF3405#lc=ListOffers-Score3-11
Técnico Optómetra,L Y H ELECTELCIA S.A.C.,Perú,"Ate, Lima",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-optometra-tiempo-completo-presencial-en-ate-1D33FE00122B57BE61373E686DCF3405#lc=ListOffers-Score3-12
Asistente/a de márketing,NA,Perú,"Chorrillos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistentea-de-marketing-con-experiencia-en-chorrillos-F88B5715BE4153C861373E686DCF3405#lc=ListOffers-Score3-13
Recepcionista y Caja,CENTROMEDIC,Perú,"San Borja, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-recepcionista-y-caja-san-borja-en-san-borja-5D21D8108D64D57061373E686DCF3405#lc=ListOffers-Score3-14
Jefe de Supply Chain,Adecco Perú S.A.,Perú,"Ventanilla, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-supply-chain-en-ventanilla-EAB6D27F8244D53661373E686DCF3405#lc=ListOffers-Score3-15
Genera un segundo ingreso!   Gana por cada venta que realices,Salesland Pacífico,Perú,"Cayma, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-genera-un-segundo-ingreso--gana-por-cada-venta-que-realices-asesor-de-ventas-libre-movistar-en-cayma-F84D3F7D2046EBEB61373E686DCF3405#lc=ListOffers-Score3-16
¡Gana por cada venta! Comisiones sin límites y horario libre,Salesland Pacífico,Perú,"Cayma, Arequipa",NA,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gana-por-cada-venta-comisiones-sin-limites-y-horario-libre-asesor-de-ventas-libre-movistar-en-cayma-4EB20BD8DD16998161373E686DCF3405#lc=ListOffers-Score3-17
Coordinador de Mercadeo y Contenido,NA,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-mercadeo-y-contenido-en-lima-BD906A101739173461373E686DCF3405#lc=ListOffers-Score3-18
Asistente de Almacén,Cipesa,Perú,"Lima, Lima",NA,"S/. 2.000,00 (Mensual)","S/. 2.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-almacen-en-lima-37149198AD7DBFC461373E686DCF3405#lc=ListOffers-Score3-19
Ejecutiva Comercial,Grupo San Pablo,Perú,"La Victoria, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutiva-comercial-salud-en-la-victoria-71F1AEC32BCDC7F061373E686DCF3405#lc=ListOffers-Score3-0
Asesor de venta,BRAMOTORS,Perú,"Chiclayo, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-venta-con-experiencia-en-chiclayo-3F5E3082E392E95F61373E686DCF3405#lc=ListOffers-Score3-1
Motorizado delivery // Cusco,NA,Perú,"Cusco, Cusco",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-motorizado-delivery-cusco-disponibilidad-inmediata-en-cusco-CA6F65E2839879F961373E686DCF3405#lc=ListOffers-Score3-2
Jefe/a de regional de planificación y confiabilidad,Grupo Pacasmayo,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefea-de-regional-de-planificacion-y-confiabilidad-en-trujillo-E7DA89424BA575D961373E686DCF3405#lc=ListOffers-Score3-3
Operador de Balanza / Balancero / Callao,Ransa Comercial  S.A.,Perú,"Callao, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-balanza-balancero-callao-en-callao-C39E989BE80549D461373E686DCF3405#lc=ListOffers-Score3-4
Asistente Programador,AGROFRUTOS,Perú,"Motupe, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-programador-motupe-en-motupe-59B82DDF7401E45161373E686DCF3405#lc=ListOffers-Score3-5
Auxiliar de reparto  Exp. consumo masivo,Dehoca .S.A.,Perú,"Chorrillos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-reparto-exp-consumo-masivo-urgente-experiencia-en-reparto-en-chorrillos-6EB71690A974F67E61373E686DCF3405#lc=ListOffers-Score3-6
Prevencionista de Riesgos SST con experiencia en el sector industrial para Chorrillos,NA,Perú,"Chorrillos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-prevencionista-de-riesgos-sst-con-experiencia-en-el-sector-industrial-para-chorrillos-en-chorrillos-1D5E48B99A1B0F9561373E686DCF3405#lc=ListOffers-Score3-7
Técnico Electricista Industrial,TRADI S.A.,Perú,"Independencia, Lima",NA,"S/. 1.800,00 (Mensual)","S/. 1.800,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-electricista-industrial-en-independencia-0886121885B2636061373E686DCF3405#lc=ListOffers-Score3-8
Químico farmacéutico / Unidad Minera,Grupo San Pablo,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-quimico-farmaceutico-unidad-minera-en-lima-6AC829993DE1C01D61373E686DCF3405#lc=ListOffers-Score3-9
¡Urgente! Auxiliar de  verificación de liquidaciones – facturación / San Isidro / Lunes a Viernes,Manpower,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-urgente-auxiliar-de-verificacion-de-liquidaciones-facturacion-san-isidro-lunes-a-viernes-minimo-6-meses-de-experiencia-en-lima-1E249F5F7523CD2061373E686DCF3405#lc=ListOffers-Score3-10
Impulsador Ferretero// Canal tradicional//Cerraduras,Soporte Promocional SAC,Perú,"San Juan De Lurigancho, Lima",NA,"S/. 1.500,00 (Mensual)","S/. 1.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-impulsador-ferretero-canal-tradicionalcerraduras-carnet-de-sanidad-vigente-de-lima-planilla-completa-inicio-marzo-en-san-juan-de-lurigancho-E3A2623380D5897461373E686DCF3405#lc=ListOffers-Score3-11
Desarrollador Semi Senior,Cooperativa de Ahorro y Credito Los Andes,Perú,"Ayacucho, Ayacucho",NA,"S/. 3.500,00 (Mensual)","S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-semi-senior-presencial-abancay-en-ayacucho-B6600EE23CC5D94261373E686DCF3405#lc=ListOffers-Score3-12
Desarrollador Semi Senior,Cooperativa de Ahorro y Credito Los Andes,Perú,"Abancay, Apurimac",NA,"S/. 3.500,00 (Mensual)","S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-semi-senior-presencial-abancay-en-abancay-A93C13CDF28B92EA61373E686DCF3405#lc=ListOffers-Score3-13
Trabajo Desde Casa Líder Técnico Salesforce / Ref. 0102,BairesDev LLC,Perú,"Chimbote, Ancash",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-lider-tecnico-salesforce-ref-0102-en-chimbote-112C3FB011F39D0E61373E686DCF3405#lc=ListOffers-Score3-14
Desarrollador Semi Senior,Cooperativa de Ahorro y Credito Los Andes,Perú,"Cusco, Cusco",NA,"S/. 3.500,00 (Mensual)","S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-semi-senior-presencial-abancay-en-cusco-C478CF946C6B0D1C61373E686DCF3405#lc=ListOffers-Score3-15
Docente PreGrado de Física II y III,Universidad de Ciencias y Humanidades,Perú,"Los Olivos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-pregrado-de-fisica-ii-y-iii-en-los-olivos-D457F6B09F3A055961373E686DCF3405#lc=ListOffers-Score3-16
Trabajo Desde Casa React Native Tech Lead / Ref. 0198,BairesDev LLC,Perú,"Chimbote, Ancash",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-react-native-tech-lead-ref-0198-en-chimbote-70397ED72BD1A53D61373E686DCF3405#lc=ListOffers-Score3-17
Asesores Call Center / Ventas / Trabaja de lunes a viernes,QUEIPO´S S.A.C.,Perú,"Arequipa, Arequipa",NA,"S/. 1.130,00 (Mensual) + Comisiones","S/. 1.130,00 (Mensual) + Comisiones",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesores-call-center-ventas-trabaja-de-lunes-a-viernes-sueldo-fijo-comisiones-bonos--presencial-en-arequipa-97B63AC1A8155DDF61373E686DCF3405#lc=ListOffers-Score3-18
Administrativo de Estación de Servicio,REPSOL COMERCIAL SAC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrativo-de-estacion-de-servicio-en-lima-7FF5B25654D173D261373E686DCF3405#lc=ListOffers-Score3-19
Promotor de Tarjeta de campo / Lima Norte,Estilos S.R.L.,Perú,"Independencia, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-promotor-de-tarjeta-de-campo-lima-norte-en-independencia-93B9743F546999D061373E686DCF3405#lc=ListOffers-Score3-0
Practicante de Operaciones,CBC PERUANA,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-operaciones-huachipa-en-lima-8E732FC5BD16C0AD61373E686DCF3405#lc=ListOffers-Score3-1
Asesor de Ventas / Comisiones ilimitadas,Grupo Educa_d,Perú,"Lince, Lima",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-comisiones-ilimitadas-institutos-sise-en-lince-AA1FED9CDD8D5F7361373E686DCF3405#lc=ListOffers-Score3-2
Jefe de Seguridad Civil,Grupo Pacasmayo,Perú,"Pacasmayo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-seguridad-civil-en-pacasmayo-1AFC09ADC8116D2A61373E686DCF3405#lc=ListOffers-Score3-3
Back Office  Seguimiento Claro ! Capacitación corta !Aquí valoramos tu talento! !Genera 1450!,AMG International E.I.R.L.,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-back-office-seguimiento-claro-capacitacion-corta-aqui-valoramos-tu-talento-genera-1450-presencial-full-time-ganas-1450-san-isidro-en-san-isidro-95FD617389FE462D61373E686DCF3405#lc=ListOffers-Score3-4
Asesor(a) de Negocios Crédito Individual Experto,Compartamos Banco,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-de-negocios-credito-individual-experto-piura-en-piura-5829269E96852A4061373E686DCF3405#lc=ListOffers-Score3-5
Analista Comercial,Danper Trujillo SAC,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-comercial-dirigido-a-hombres-y-mujeres-en-trujillo-0EC7D6A847E35F4E61373E686DCF3405#lc=ListOffers-Score3-6
Asistente de gerencia general,Grupo Tawa,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-gerencia-general-en-lima-9185C77634F039BD61373E686DCF3405#lc=ListOffers-Score3-7
Analista para el Centro de Investigación Formativa e Integridad Científica,Universidad César Vallejo,Perú,"Chepen, La Libertad",NA,"S/. 2.300,00 (Mensual)","S/. 2.300,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-para-el-centro-de-investigacion-formativa-e-integridad-cientifica-campus-chepen-en-chepen-EFC19C8A613F682861373E686DCF3405#lc=ListOffers-Score3-8
Analista / asistente de monitoreo vial,JP Logistica SAC,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-asistente-de-monitoreo-vial-en-lima-C4AB50095C0CB54F61373E686DCF3405#lc=ListOffers-Score3-9
Sodimac Operario(a) de Recepción y Despacho FT Sodimac Huancayo,FALABELLA CORPORATIVO PERÚ,Perú,"Huancayo, Junin",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-sodimac-operarioa-de-recepcion-y-despacho-ft-sodimac-huancayo-horarios-rotativos-en-huancayo-FE9A35BF8CA3ABD661373E686DCF3405#lc=ListOffers-Score3-10
Auxiliar de administración y Tecnológico,HONESTY S.A.C.,Perú,"Miraflores, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-administracion-y-tecnologico-en-miraflores-6A4747EA1FE3889061373E686DCF3405#lc=ListOffers-Score3-11
Asistente contable – facturación,COMERCIAL ARIG,Perú,"Lima, Lima",NA,"S/. 1.400,00 (Mensual)","S/. 1.400,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-contable-facturacion-full-time-en-lima-396E5FE89B6E203D61373E686DCF3405#lc=ListOffers-Score3-12
Virtual assistant,Apex America Perú,Perú,"Lima, Lima",NA,"S/. 2.900,00 (Mensual)","S/. 2.900,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-virtual-assistant-presencial-centro-de-lima-en-lima-E45A2B96AD5CD8FB61373E686DCF3405#lc=ListOffers-Score3-13
Supervisor de Sembradores,NA,Perú,"Olmos, Lambayeque",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-supervisor-de-sembradores-en-olmos-024E282C89578D2761373E686DCF3405#lc=ListOffers-Score3-14
Coordinador de Operaciones  Exp. Transporte,ECOBUS S.A.C.,Perú,"Chao, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-operaciones-exp-transporte-empresa-de-transporte-de-personal-en-chao-002323A628AD36B461373E686DCF3405#lc=ListOffers-Score3-15
Jefe de Gestión Tarifaria / Trujillo,EMPLEA,Perú,"San Isidro, Lima",NA,"S/. 9.000,00 (Mensual)","S/. 9.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-de-gestion-tarifaria-trujillo-en-san-isidro-EA221C0BB99505CA61373E686DCF3405#lc=ListOffers-Score3-16
Especialista en Climatización y Gabinetes,PROMAX SAFETY,Perú,"Pucallpa, Ucayali",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-en-climatizacion-y-gabinetes-proyecto-tecnico-en-pucallpa-en-pucallpa-DF9A07A6CF67770561373E686DCF3405#lc=ListOffers-Score3-17
Soldador Nivel 1,STRACON PERÚ S.A.,Perú,"Cusco, Cusco",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soldador-nivel-1-zona-sur-en-cusco-BACB67E58A99971461373E686DCF3405#lc=ListOffers-Score3-18
Repsol: Jefe de Estación de Servicio  Huaral,REPSOL COMERCIAL SAC,Perú,"Huaral, Lima",NA,"S/. 3.500,00 (Mensual)","S/. 3.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-repsol-jefe-de-estacion-de-servicio-huaral-en-huaral-DF9DBDF89FEEF46361373E686DCF3405#lc=ListOffers-Score3-19
Asistente Comercial de Soluciones Tecnológicas – Servicios TI – San Isidro,Grupo Expro,Perú,"San Isidro, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-comercial-de-soluciones-tecnologicas-servicios-ti-san-isidro-en-san-isidro-C559951FD65555C061373E686DCF3405#lc=ListOffers-Score3-0
Asesor de Ventas / Comisiones ilimitadas,Grupo Educa_d,Perú,"Ate, Lima",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-comisiones-ilimitadas-turno-tarde-institutos-sise-en-ate-5A88CD35B8859F2F61373E686DCF3405#lc=ListOffers-Score3-1
Coordinador de Investigación y Desarrollo,Grupo Pacasmayo,Perú,"Trujillo, La Libertad",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-investigacion-y-desarrollo-en-trujillo-0522AE34AB5A23E761373E686DCF3405#lc=ListOffers-Score3-2
"Motorizado paquetes livianos (Los Olivos, SMP, Comas, Independencia)",Urbano,Perú,"Los Olivos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-motorizado-paquetes-livianos-los-olivos-smp-comas-independencia-en-los-olivos-43818A64886534BD61373E686DCF3405#lc=ListOffers-Score3-3
