puesto_trabajo,nombre_empresa,pais,region_estado,tipo_contrato,salario_minimo,salario_maximo,moneda_salario,periodo_salario,plataforma_origen,tipo_fuente_datos,enlace_oferta
Practicante de Machine Learning,Creditex S.A.A.,Perú,"Ate, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-machine-learning-practicante-profesional-de-informatica-en-ate-590A04BEAAC6652361373E686DCF3405#lc=ListOffers-Score4-14
Tecnico en informatica,Solver,Perú,"San Isidro, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-informatica-o-similar-con-experiencia-en-soporte-it-en-san-isidro-1533567B1F73386C61373E686DCF3405#lc=ListOffers-Score4-15
docente,NA,Perú,"Socabaya, Arequipa",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-computo-e-informatica-en-socabaya-366930D87481C20561373E686DCF3405#lc=ListOffers-Score4-16
Especialista de Seguridad Informática,Financiera Confianza,Perú,"San Isidro, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-seguridad-informatica-en-san-isidro-F18588E21AC0D8D761373E686DCF3405#lc=ListOffers-Score4-17
Diseñadora Informatica,NA,Perú,"San Isidro, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-informatica-diseno-web-responsive-en-san-isidro-3F0E7D8EAC405FA561373E686DCF3405#lc=ListOffers-Score4-18
Soporte Tecnico Informático para PUNO,Centro Nacional de Servicios - CNS,Perú,"Puno, Puno",NA,"S/. 1.400,00 (Mensual) + Comisiones","S/. 1.400,00 (Mensual) + Comisiones",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-informatico-para-puno-con-experiencia-en-reparacion-de-impresoras-en-puno-404B2E0BD173475D61373E686DCF3405#lc=ListOffers-Score4-19
Desarrollador Informatico,NA,Perú,"San Isidro, Lima",Presencial y remoto,"S/. 3.000,00 (Mensual)","S/. 3.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-informatico-nodejs-y-angular-en-san-isidro-566122E2C05139CF61373E686DCF3405#lc=ListOffers-Score4-0
Docente de Pregrado de Prácticas Pre Profesional I y II para Ingeniería de Sistemas e Informática,Universidad de Ciencias y Humanidades,Perú,"Los Olivos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-pregrado-de-practicas-pre-profesional-i-y-ii-para-ingenieria-de-sistemas-e-informatica-en-los-olivos-F4D1D7A9551F18B261373E686DCF3405#lc=ListOffers-Score4-1
Técnico Informático,NA,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-informatico-en-lima-AC15962B6750A68661373E686DCF3405#lc=ListOffers-Score4-2
"Estudiantes de Administración, informática, sistemas para “Atención y soporte al estudiante”",ESCUELA EMPRESARIAL DEL PERU - ESEP,Perú,"San Miguel, Lima",NA,"S/. 1.130,00 (Mensual)","S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-estudiantes-de-administracion-informatica-sistemas-para-atencion-y-soporte-al-estudiante-turnos-mt-en-san-miguel-75575E68F492CFC961373E686DCF3405#lc=ListOffers-Score4-3
Técnico Informático Ti En Seguridad Privada,Casevip,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-informatico-ti-en-seguridad-privada-en-santiago-de-surco-04C3A2B4E1B0B51261373E686DCF3405#lc=ListOffers-Score4-4
asistente de Informatica y Redes,LABO PERU S.A.C.,Perú,"Miraflores, Lima",NA,"S/. 3.000,00 (Mensual)","S/. 3.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-informatica-y-redes-en-miraflores-CC6F77B02EF3003761373E686DCF3405#lc=ListOffers-Score4-5
Practicante Profesional de Seguridad Informática,BSG Institute,Perú,"Arequipa, Arequipa",NA,"S/. 1.130,00 (Mensual)","S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-de-seguridad-informatica-en-arequipa-4E47CEA80E09502961373E686DCF3405#lc=ListOffers-Score4-6
Cibertec: Docente Tiempo Completo (24hrs) Carrera Computación e Informática,Laureate,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cibertec-docente-tiempo-completo-24hrs-carrera-computacion-e-informatica-en-santiago-de-surco-C1455F5C8B7190BA61373E686DCF3405#lc=ListOffers-Score4-7
Soporte Tecnico Informático para Trujillo,Centro Nacional de Servicios - CNS,Perú,"Trujillo, La Libertad",NA,"S/. 1.400,00 (Mensual)","S/. 1.400,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-informatico-para-trujillo-con-experiencia-en-reparacion-de-impresoras-en-trujillo-491D38BAF402276161373E686DCF3405#lc=ListOffers-Score4-8
Técnico Soporte Informático,NA,Perú,"Lima, Lima",NA,"S/. 1.200,00 (Mensual)","S/. 1.200,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-soporte-informatico-cercado-de-lima-en-lima-54E5A9D61986CA9161373E686DCF3405#lc=ListOffers-Score4-9
Desarrollador de Sistemas de Soporte Informático/Minería,Adecco Perú S.A.,Perú,"Lima, Lima",NA,"S/. 5.720,00 (Mensual)","S/. 5.720,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-sistemas-de-soporte-informaticomineria-experiencia-en-bi-en-lima-96350FC0A0EFB74961373E686DCF3405#lc=ListOffers-Score4-10
Analista BI/Minería,Adecco Perú S.A.,Perú,"Lima, Lima",NA,"S/. 5.720,00 (Mensual)","S/. 5.720,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-bimineria-desarrollador-de-sistemas-de-soporte-informatico-en-lima-9760B23B7938DA4061373E686DCF3405#lc=ListOffers-Score4-11
Profesores para el Centro de Informática y Sistemas,Universidad César Vallejo,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesores-para-el-centro-de-informatica-y-sistemas-en-lima-CD506823CECE7B0B61373E686DCF3405#lc=ListOffers-Score4-12
Profesores para el Centro de Informática y Sistemas,Universidad César Vallejo,Perú,"Lima, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesores-para-el-centro-de-informatica-y-sistemas-en-lima-CCAE3082EFFCF14E61373E686DCF3405#lc=ListOffers-Score4-13
Instructor  JP  Redes y Seguridad Informática Piura,SENATI,Perú,"Piura, Piura",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-instructor-jp-redes-y-seguridad-informatica-piura-redes-y-seguridad-informatica-en-piura-BBAFFDB14A1E4DA461373E686DCF3405#lc=ListOffers-Score4-14
Auxiliar de soporte técnico informático,NA,Perú,"San Borja, Lima",Presencial y remoto,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-soporte-tecnico-informatico-en-san-borja-C3A1F76DB54D15DD61373E686DCF3405#lc=ListOffers-Score4-15
técnico informático,NA,Perú,"Puente Piedra, Lima",NA,"S/. 1.000,00 (Mensual)","S/. 1.000,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-informatico-con-experiencia-en-puente-piedra-95D1B802DF43062061373E686DCF3405#lc=ListOffers-Score4-16
Operadoras de Pruebas,Grupo GDP,Perú,"Barranco, Lima",NA,"S/. 1.400,00 (Mensual)","S/. 1.400,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operadoras-de-pruebas-computacion-informatica-en-barranco-C993C0BF09B666A561373E686DCF3405#lc=ListOffers-Score4-17
redes y seguridad informática,RIGEL TELEMATICS,Perú,"Carabayllo, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-redes-y-seguridad-informatica-turno-dia-no-requiere-experiencia-en-carabayllo-028E6F4B1937C52961373E686DCF3405#lc=ListOffers-Score4-18
Técnico de Informática,CQFP,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-informatica-con-experiencia-en-santiago-de-surco-FC858FB80E80BCFE61373E686DCF3405#lc=ListOffers-Score4-19
Técnico computación e informática,GROUP HORNA E Y C TRADING S.AC.,Perú,"Trujillo, La Libertad",NA,"S/. 500,00 (Mensual)","S/. 500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-computacion-e-informatica-estudiante-practicante-o-con-experiencia-en-trujillo-A1C26CC3FE54E93061373E686DCF3405#lc=ListOffers-Score4-0
Jefe/Gerente Comercial metal mecaniaca,METAL MECANICA CAMACHO,Perú,"Los Olivos, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefegerente-comercial-metal-mecaniaca-habilidades-tecnicas-e-informaticas-en-los-olivos-0DEBC7AE5E4139E661373E686DCF3405#lc=ListOffers-Score4-1
asistente de soporte técnico,Universo Tecnológico,Perú,"Bellavista, Callao",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-tecnico-con-experiencia-en-informatica-en-bellavista-8C48E4AB6459042761373E686DCF3405#lc=ListOffers-Score4-2
Practicante de redes e informática,PRONET SYSTEM SAC,Perú,"San Juan De Lurigancho, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-redes-e-informatica-rubro-telecomunicaciones-en-san-juan-de-lurigancho-6E23D67634E3DCA461373E686DCF3405#lc=ListOffers-Score4-3
Practicante Profesional de Sistemas y/o Informática,CDI PERÚ,Perú,"Miraflores, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-de-sistemas-yo-informatica-en-miraflores-E07B332628C8A64F61373E686DCF3405#lc=ListOffers-Score4-4
Técnico informático,PISKOTECH GROUP E.I.RL,Perú,"Pisco, Ica",NA,"S/. 1.130,00 (Mensual)","S/. 1.130,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-informatico-pisco-en-pisco-6AE3D6D400BA93B261373E686DCF3405#lc=ListOffers-Score4-5
encargado/a de informática,OMC ABOGADOS & CONSULTORES EIRL,Perú,"Miraflores, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-encargadoa-de-informatica-presencial-en-miraflores-5403CFFE9E756EA561373E686DCF3405#lc=ListOffers-Score4-6
Técnico Informático,OZ TALENT S.A.C.,Perú,"Villa El Salvador, Lima",NA,"S/. 2.500,00 (Mensual)","S/. 2.500,00 (Mensual)",PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-informatico-help-desk-para-empresa-trasnacional-en-villa-el-salvador-98E8DF32A304D95561373E686DCF3405#lc=ListOffers-Score4-7
Capacitador/a,Alo Taxi,Perú,"Santiago De Surco, Lima",NA,NA,NA,PEN,Mensual,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-capacitadora-en-santiago-de-surco-CCA72A699B5B16D961373E686DCF3405#lc=ListOffers-Score3-8
