company,id,link,location,salary,snippet,source,title,type,updated
Jockey Plaza Perú,433217476244695789,https://es.jooble.org/jdp/433217476244695789,Peru,,"&nbsp;...buenas prácticas de networking (ISO 27001)
 Requisitos: 
-Estudios: Bachiller/Técnico en Ingeniería de Redes y Comunicaciones, <b>Sistemas </b>o carreras afines. 
-Experiencia: : 2 años de experiencia en soluciones de redes y comunicaciones (Switches, Routers, Access Point...&nbsp;",genoma.work,Analista de Administración de Redes,,2025-07-11T00:51:46.1673408+00:00
Mibanco - PE,-6684255056637691353,https://es.jooble.org/jdp/-6684255056637691353,Peru,,"&nbsp;...tecnológicas y experiencia del cliente, promoviendo la innovación dentro del área 
¿Qué buscamos?
· Egresado/a de Ingeniería de <b>Sistemas,</b> Ingeniería Industrial, Economía, Ingeniería Estadística o afines. 
· Experiencia mínima de 2 años realizando funciones similares...&nbsp;",genoma.work,Especialista de CRM,,2025-07-11T00:51:46.3826133+00:00
Lima Airport Partners,-2361940440515862220,https://es.jooble.org/jdp/-2361940440515862220,Peru,,"&nbsp;...telecomunicaciones. 
- Administrar el crecimiento de la infraestructura de telecomunicaciones. 
- Programar funciones, diseñar redes y <b>sistemas,</b> y asignar los recursos como sea necesario. 
- Supervisar y coordinar las actividades de telecomunicaciones. 
- Planear, diseñar...&nbsp;",genoma.work,Analista senior de infraestructura / Analista pleno de infraestructura,,2025-07-03T00:51:14.4861968+00:00
Mibanco - PE,4292627113825355478,https://es.jooble.org/jdp/4292627113825355478,Peru,,"&nbsp;...ideas para impactar en la vida de los micro y pequeños empresarios del país incorporándose a nuestro equipo como  Líder Técnico de <b>Sistemas </b> . 
¿Cuáles serían tus principales responsabilidades?   
- Crea especificaciones técnicas de diseño de software y ayuda en el...&nbsp;",genoma.work,Líder Técnico de Sistemas,,2025-06-26T18:51:13.6283834+00:00
Mibanco - PE,-2206776596167358849,https://es.jooble.org/jdp/-2206776596167358849,Peru,,"&nbsp;...supervisoras durante las visitas de revisión e inspección. 
 
¿Qué necesitamos?
· Bachiller o titulado en Ing. Estadística, Ing. De <b>Sistemas </b>o Informática, Economía, Industrial o afines. Deseable Maestría en Finanzas, Administración, TI, BI, etc. 
· Experiencia mínima...&nbsp;",genoma.work,Gerente de Modelos de Riesgo,,2025-04-16T00:51:13.0247075+00:00
Mibanco - PE,4292627113825355478,https://es.jooble.org/jdp/4292627113825355478,Peru,,"&nbsp;...Ingeniería de Sistemas, Ingeniería de Software, Ingeniería Informática y/o afines. Carrera Técnica: Informática / Computación / <b>Programación.</b> 
- Experiencia de al menos de 3 años liderando equipos de desarrollo de software. 
- Experiencia en desarrollo de software participando...&nbsp;",genoma.work,Líder Técnico de Sistemas,,2025-06-26T18:51:13.6283834+00:00
Mibanco - PE,-5775528133654123411,https://es.jooble.org/jdp/-5775528133654123411,Peru,,"&nbsp;...necesitamos?
- Estudiante de 7mo, 8vo o 9no ciclo de Ingeniería de Sistemas, Informática o carreras afines. 
- Conocimientos en <b>programación </b>(Python , Java, etc) a nivel intermedio. 
- Manejo de herramientas de automatización (como UiPath, RPA, Power Platform, etc), y...&nbsp;",genoma.work,Practicante de Gestión de Procesos y Mejora Continua,,2025-06-20T00:51:13.8582181+00:00
Mibanco - PE,8721812186019853369,https://es.jooble.org/jdp/8721812186019853369,Peru,," Únete a la institución N°1 en microfinanzas de Latinoamérica y el Caribe y la N°2 a nivel mundial!
 En Mibanco, el banco especializado en microfinanzas del Grupo Credicorp, tenemos el propósito de transformar las vidas de los peruanos a través de la inclusión financiera...",genoma.work,Analista Senior de Tecnología e Información de Riesgos,,2025-04-15T02:15:02.1847229+00:00
Lima Airport Partners,-8954540438640393881,https://es.jooble.org/jdp/-8954540438640393881,Peru,,"&nbsp;...Central de Operaciones. 
¿Listo para aportar al equipo?
 El propósito del puesto es ejecutar las actividades de mantenimiento <b>programadas </b>y no programadas de los sistemas eléctricos del AIJCH, con el fin de garantizar así la continuidad de las operaciones y la seguridad...&nbsp;",genoma.work,Técnico de Mantenimiento de Sistemas Eléctricos (Temporal - 6 meses),,2025-07-11T00:51:46.2183987+00:00
Mibanco - PE,-4910663903617676500,https://es.jooble.org/jdp/-4910663903617676500,Peru,,"&nbsp;...equipos de Analytics, Inteligencia comercial, CRM, Consultoría. Deseable experiencia en banca o Fintech. 
• Conocimientos técnicos: <b>Programación </b>en Python (Intermedio), PL/SQL (Intermedio), Pyspark (Deseable). 
• Habilidades: Storytelling, liderazgo de equipo, y gestión...&nbsp;",genoma.work,Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),,2025-05-23T00:56:09.3541880+00:00
Jockey Plaza Perú,433217476244695789,https://es.jooble.org/jdp/433217476244695789,Peru,," Mision:  Gestionar y asegurar la infraestructura de red del centro comercial, garantizando la conectividad, seguridad y continuidad operativa. Asegurar la correcta operación de las plataformas de red (PARKING, CONTADOR DE PERSONAS, WIFI PUBLICO, RED ADMINISTRATIVA, SONIDO...",genoma.work,Analista de Administración de Redes,,2025-07-11T00:51:46.1673408+00:00
Lima Airport Partners,-2361940440515862220,https://es.jooble.org/jdp/-2361940440515862220,Peru,,"&nbsp;...Administrar y operar los servicios de telecomunicaciones. 
- Administrar el crecimiento de la infraestructura de telecomunicaciones. 
- <b>Programar </b>funciones, diseñar redes y sistemas, y asignar los recursos como sea necesario. 
- Supervisar y coordinar las actividades de...&nbsp;",genoma.work,Analista senior de infraestructura / Analista pleno de infraestructura,,2025-07-03T00:51:14.4861968+00:00
Mibanco - PE,4292627113825355478,https://es.jooble.org/jdp/4292627113825355478,Peru,,"&nbsp;...de diseño de software y ayuda en el dimensionamiento de requerimientos y dependencias técnicas y evalúa el impacto del riesgo en <b>desarrollo.</b> Revisa y asesora sobre las especificaciones técnicas de diseño requeridas por los equipos. 
- Asesora en la construcción de despliegues...&nbsp;",genoma.work,Líder Técnico de Sistemas,,2025-06-26T18:51:13.6283834+00:00
Circus Grey,6465303046942831867,https://es.jooble.org/jdp/6465303046942831867,Peru,," En  Circus Grey  nos encontramos en la búsqueda de un  Diseñador(a) Animador(a ) para que se integre a nuestro equipo: 
 Descripción 
 Elevar el nivel gráfico en las piezas del día a día, con la finalidad asegurar su desarrollo para las campañas. 
 
 Requerimientos ...",genoma.work,Diseñador(a) Animador(a) - Freelance,,2025-07-11T00:51:46.3864842+00:00
Circus Grey,7054409564497112970,https://es.jooble.org/jdp/7054409564497112970,Peru,," En  Circus Grey  nos encontramos en la búsqueda de un(a)  Diseñador(a) Animador(a) para que se integre a nuestro equipo: 
 
 Descripción: 
 Elevar el nivel gráfico en las piezas del día a día, con la finalidad asegurar su desarrollo para las campañas. 
 
 Funciones...",genoma.work,Diseñador(a) Animador(a),,2025-06-24T18:51:19.1263551+00:00
Circus Grey,6912386719618798801,https://es.jooble.org/jdp/6912386719618798801,Peru,," En  Circus Grey  nos encontramos en la búsqueda de un  Content Manager - Exp. en Cuenta Retail/Moda  para que se integre a nuestro equipo y nos apoye con diferentes proyectos dentro de nuestra cartera de clientes en diversos rubros:
 Descripción: 
 Generar vínculos positivos...",genoma.work,Content Manager - Retail/Moda,,2025-07-11T00:51:46.7184333+00:00
Jockey Plaza Perú,433217476244695789,https://es.jooble.org/jdp/433217476244695789,Peru,,"&nbsp;...administración de redes con soluciones Fortinet. 
-Idiomas:Ingles intermedio 
-Conocimientos técnicos/ sistemas: 
-Conocimientos en PRTG (<b>Software </b>de monitoreo y alertas de redes online)
-Deseable haber seguido cursos de Cisco CCNA Routing & Switching V6, Fortinet NSE4 (...&nbsp;",genoma.work,Analista de Administración de Redes,,2025-07-11T00:51:46.1673408+00:00
