puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Ejecutivo Ventas Software,Inti Raymi S.A.,,,"S/. 1.800,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Clinica Internacional SA,,,
Ejecutivo Ventas Software,Centro Nacional de Servicios - CNS,,,"S/. 1.700,00 (Mensual)"
Ejecutivo Ventas Software,Centro Nacional de Servicios - CNS,,Presencial y remoto,"S/. 1.699,00 (Mensual)"
Ejecutivo Ventas Software,J & R TECHNOLOGY SOLUTIONS S.A.C.,,,"S/. 2.500,00 (Mensual)"
Ejecutivo Ventas Software,Bitel,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,INSIGHT CONSULTORIA CLINICA Y ORGANIZACIONAL,,Presencial y remoto,"S/. 2.000,00 (Mensual)"
Ejecutivo Ventas Software,BIOPAKING,,Presencial y remoto,"S/. 2.500,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,ESE PERU S.A.C.,,,"S/. 5.000,00 (Mensual)"
Ejecutivo Ventas Software,Grupo EFE,,,
Ejecutivo Ventas Software,REL ENGLISH S.A.C.,,,"S/. 3.000,00 (Mensual)"
Ejecutivo Ventas Software,FALABELLA CORPORATIVO PERÚ,,,
Ejecutivo Ventas Software,ICPNA,,,
Ejecutivo Ventas Software,GRUPO ECOLIMP E.I.R.L,,,"S/. 5.000,00 (Mensual) + Comisiones"
Ejecutivo Ventas Software,INSIGHT CONSULTORIA CLINICA Y ORGANIZACIONAL,,Presencial y remoto,"S/. 2.000,00 (Mensual)"
Ejecutivo Ventas Software,Hoteles Estelar del Perú,,,"S/. 3.900,00 (Mensual)"
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,DC Grupo Inmobiliario,,,
Ejecutivo Ventas Software,KasNet,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,ABIMSA PROVEEDORES INDUSTRIALES S.A.C.,,Presencial y remoto,
