puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Desarrollador de Software,Desarrollador web,No disponible,Presencial y remoto,
Otro,Gestor de Servicios: Tienda Chiclayo,No disponible,No disponible,
Otro,Asistente de Alimentos y Bebidas,No disponible,No disponible,
Otro,Tecnico de Enfermeria / Clinica Surco 7am a 4pm,No disponible,No disponible,
Otro,Lider de Control de Calidad,No disponible,Presencial y remoto,
Otro,Asistente de seguridad de la información y datos personales,No disponible,No disponible,
Otro,Asistente de Soporte Técnico en Sistemas para Puente Piedra,No disponible,No disponible,
Otro,Auxiliar de Manejo de la Información,No disponible,No disponible,
Otro,Asistente de Almacén,No disponible,No disponible,
Otro,Gestor Supervisor de Operaciones y Servicios: Bagua Chica,No disponible,No disponible,
Otro,Web master,No disponible,No disponible,
Otro,Gestor Supervisor de Operaciones y Servicios: Chulucanas,No disponible,No disponible,
Otro,Docentes de Ingeniería de Sistemas/ Software / Sede Trujillo,No disponible,No disponible,
Otro,Operador de CCTV (Cusco),No disponible,No disponible,
Otro,Practicante Profesional de Redes,No disponible,No disponible,
Otro,Asistente de Créditos y Cobranzas,No disponible,No disponible,
Otro,Soporte Técnico TI,No disponible,No disponible,
Otro,Analista de Compras,No disponible,No disponible,
Otro,Técnico de Soport Pc y Printer,No disponible,No disponible,
Otro,Analista de proyectos TI /Comas,No disponible,No disponible,
Otro,Médico Oncólogo de Detección Temprana y Prevención  Centro de Bienestar /Miraflores,No disponible,No disponible,
Otro,Agente de Seguridad / 12 hrs Rotativo,No disponible,No disponible,
Otro,Urgente. Docentes Primaria,No disponible,No disponible,
Otro,Analista inmobiliario,No disponible,No disponible,
Otro,Vendedor de Repuestos / Rubro Automotriz,No disponible,No disponible,
Ingeniero DevOps,Ingeniero Devops,No disponible,Presencial y remoto,
Otro,Jefe de Soporte Técnico Sistemas,No disponible,No disponible,
Otro,Auxiliar de  Infraestructura de TI,No disponible,No disponible,
Otro,Matizador(a) de pinturas Tiempo Completo Promart La Molina,No disponible,No disponible,
Otro,Auxiliar Monitoreo y Telecobranzas,No disponible,No disponible,
Otro,Buscamos Asesor de Ventas Campo (Repuestos Automotrices),No disponible,No disponible,
Otro,Arquitecto de Soluciones,No disponible,Presencial y remoto,
Otro,Jefe de Sistemas,No disponible,No disponible,
Otro,Facilitador HSE,No disponible,No disponible,
Otro,Gestor de Soporte Técnico y  Aplicaciones,No disponible,No disponible,
Otro,Soporte Técnico,No disponible,No disponible,
Desarrollador de Software,Programador Web,No disponible,No disponible,
Otro,Asesor de Ventas Campo Sector Automotriz / Repuestos,No disponible,No disponible,
Otro,Asesor de Negocios Paucarpata,No disponible,No disponible,
Otro,Analista de creditos y cobranzas/Puente Piedra/Disp. Inmediata,No disponible,No disponible,
Otro,Vendedor(a) / Asesor(a) de Ventas / Atención al Cliente /  Multifuncional / Tienda Surquillo,No disponible,No disponible,
Desarrollador de Software,Analista Programador / Miraflores / Inglés Intermedio,No disponible,No disponible,
Desarrollador de Software,Desarrollador BackEnd,No disponible,Presencial y remoto,
Otro,Gestor de Servicios  Virú,No disponible,No disponible,
Otro,Analista de Procesos Comerciales,No disponible,No disponible,
Otro,Operador de Producción TI,No disponible,No disponible,
Soporte Técnico,Practicante Profesional de Soporte Técnico / Help desk / Junior /  Ate,No disponible,No disponible,
Desarrollador de Software,Analista programador,No disponible,No disponible,
Otro,Coordinador de Tecnología de la información,No disponible,No disponible,
DBA,Administrador de Base de Datos Oracle (DBA) /Remoto,No disponible,No disponible,
Otro,Asistente de Despacho Junior/Tecnicos Egresados,No disponible,No disponible,
Otro,12 Supervisores de Operaciones de Limpieza  S/ 1550,No disponible,No disponible,
Otro,Técnico en computación,No disponible,No disponible,
Otro,Docentes de Ingeniería de Sistemas / Sede Cajamarca,No disponible,No disponible,
Otro,Docente de Mecánica Automotriz JP Tumbes,No disponible,No disponible,
Otro,Coordinador Analista Soc,No disponible,No disponible,
Otro,Supervisor Junior de Inventario,No disponible,No disponible,
Otro,Negociador,No disponible,No disponible,
Otro,Instructor JP Electricidad Industrial Tumbes,No disponible,No disponible,
Otro,Practicante Profesional de TI  Soporte Técnico en Huacho,No disponible,No disponible,
Otro,Supervisor de Producción,No disponible,No disponible,
Desarrollador de Software,Analista Programador  Surco Semipresencial,No disponible,Presencial y remoto,
Otro,Asesor de Negocios / Sede Huachipa,No disponible,No disponible,
Otro,Gestor de Servicios  Caraz,No disponible,No disponible,
Otro,UPC: Asistente de Registros Académicos Intermitente / Surco,No disponible,No disponible,
Otro,Jefe de Ventas Rubro de Telefonìa,No disponible,No disponible,
Otro,Técnico Electrónico Junior / Sede Ate,No disponible,No disponible,
Otro,Asesor de Negocios Ilo,No disponible,No disponible,
Otro,Practicante Profesional TI  Soporte Técnico,No disponible,No disponible,
Otro,Docente JP Administración  de empresas Tumbes,No disponible,No disponible,
Especialista en Ciberseguridad,Analista de Monitoreo de Ciberseguridad TI // Cybersecurity Monitoring Analyst IT,No disponible,No disponible,
Otro,Asistente / Auxiliar de Atención al Cliente Call Center,No disponible,No disponible,
Otro,Ejecutivo de Service Desk con experiencia en software Aranda,No disponible,Presencial y remoto,
Otro,Ejecutivo de Service Desk Mesa de Ayuda,No disponible,No disponible,
Otro,Analista de Costos,No disponible,No disponible,
Otro,Asistente de soporte técnico  TI,No disponible,No disponible,
Otro,Capataz  MT/BT,No disponible,No disponible,
Otro,Asistente de Importaciones / Planilla Completa / Breña / Descansa Sábado y Domingo,No disponible,No disponible,
Ingeniero de Datos,Ingeniero de Datos,No disponible,Presencial y remoto,
Otro,Instructor JP Electrónica y Automotizacion Industrial Piura,No disponible,No disponible,
Desarrollador de Software,Desarrollador(a) Web (Marketing),No disponible,No disponible,
Otro,Auxiliar Administrativo de Almacén  Chorrillos,No disponible,No disponible,
Otro,Operador de sistemas,No disponible,No disponible,
Otro,Controlador de Expediciones,No disponible,No disponible,
Otro,Especialista en Gobierno TI con 5 años de exp,No disponible,Presencial y remoto,
Otro,Operadores NOC / ATC corporativos / Tickets / Presencial / Horarios rotativos,No disponible,No disponible,
Otro,Supervisor de Producción (Químico Farmacéutico),No disponible,No disponible,
Otro,Asistente Administrativo,No disponible,No disponible,
Analista Funcional,Analista de Sistemas y Aplicaciones / Experiencia en Diseño de Aplicaciones / Ate,No disponible,No disponible,
Otro,Auxiliar de informacion de tareo para área de cosecha,No disponible,No disponible,
Otro,Coordinador interno de Seguridad Patrimonial,No disponible,No disponible,
Otro,Soporte Técnico Jr. / La Victoria / Presencial,No disponible,No disponible,
Otro,Gestor de servicios,No disponible,No disponible,
Otro,ing. de seguridad,No disponible,No disponible,
Otro,Controlador de Transportes,No disponible,No disponible,
Otro,Teleoperador de Call Center en Lima,No disponible,No disponible,
Otro,Arquitecto de Seguridad TI CyberSeguridad,No disponible,Presencial y remoto,
Otro,Asesor/a call center ventas Internet,No disponible,No disponible,
Otro,Supervisor de Producción Sector Farmacéutico,No disponible,No disponible,
Otro,Asesor de Servicio Postventa,No disponible,No disponible,
Soporte Técnico,Soporte tecnico Inforest,No disponible,No disponible,
Otro,vendedora/vendedor /marketing,No disponible,No disponible,
Otro,Supervisor de Servicios FM,No disponible,No disponible,
Otro,Gestor de Servicios: Tienda Huamachuco,No disponible,No disponible,
Otro,Asistente de Exportación e Importación,No disponible,No disponible,
Analista Funcional,Analista de Sistemas Full Stack,No disponible,Presencial y remoto,
Otro,Asistente de Soporte de Tecnologías de la Información,No disponible,No disponible,
Otro,Soporte Técnico Jr. / San Isidro / Presencial,No disponible,No disponible,
Otro,Analista de Redes y Comunicaciones,No disponible,No disponible,
Otro,Técnico Junior de Reparación PCs y Laptops,No disponible,No disponible,
Otro,Asistente de Gerencia con Formación en Sistemas,No disponible,No disponible,
Otro,Analista de Validaciones,No disponible,No disponible,
Otro,Asistente de recursos humanos,No disponible,No disponible,
Otro,Supervisor de Infraestructura,No disponible,No disponible,
Otro,Administrador de Plataformas /Tutor,No disponible,No disponible,
Otro,Practicante Profesional Mobile Android S/1300  /San Isidro,No disponible,Presencial y remoto,
Ingeniero de Datos,Data Engineer,No disponible,Presencial y remoto,
Otro,Asistente Administrativo/a Tesorería,No disponible,No disponible,
Otro,Supervisor de Gestión Tecnológica y Soporte TI,No disponible,No disponible,
Especialista en Ciberseguridad,Especialista de Gestión de Incidentes de ciberseguridad – CyberSOC,No disponible,Presencial y remoto,
Otro,Asistente de Investigación de Mercados/Rubro automotriz,No disponible,No disponible,
Otro,Practicante profesional de TI,No disponible,No disponible,
Otro,Digitadores y Digitalizadores en ICA Turno Tarde/Turno Noche,No disponible,No disponible,
Otro,Soporte de aplicaciones Plsql,No disponible,Presencial y remoto,
Otro,ejecutivo/a comercial,No disponible,No disponible,
Project Manager,Analista PMO (Project manager),No disponible,Presencial y remoto,
Otro,Analista QA senior,No disponible,No disponible,
Otro,Notificador y Despachador/ Campaña Todinno Huachipa/12 horas rotativos,No disponible,No disponible,
Otro,Asistente de producción experiencia en Imprenta,No disponible,No disponible,
Otro,Notificador y Despachador/ Campaña Todinno Huachipa/12 horas rotativos,No disponible,No disponible,
Desarrollador de Software,Desarrollador PHP Junior/ Of Aqp,No disponible,No disponible,
Otro,Asistente de automatización de procesos en plataformas de Contact Center,No disponible,No disponible,
Otro,técnico/a de soporte,No disponible,No disponible,
Otro,Recepcionista,No disponible,No disponible,
Desarrollador de Software,Analista Programador Genexus/Core Bantotal,No disponible,Presencial y remoto,
Otro,Soporte Microinformático Jr. / Presencial / Cercado de Lima,No disponible,No disponible,
Otro,Supervisor de Operaciones,No disponible,No disponible,
Otro,Asistente de Centro de Control Patrimonial,No disponible,No disponible,
Otro,Digitador / Exp. en Seguros / San Isidro,No disponible,No disponible,
Otro,Coordinador de Tecnología y Transformación Digital,No disponible,No disponible,
Otro,Auxiliar administrativo de fitosanidad,No disponible,No disponible,
Otro,Técnico(a) de enfermería de consulta externa temporal,No disponible,No disponible,
Otro,"Técnico de Reparación de Laptops y Computadoras, Servicio Técnico/ Planilla Completa + Beneficios",No disponible,No disponible,
Otro,"Administración Industrial, Producción",No disponible,No disponible,
Otro,Soporte Microinformático Jr. / Presencial / Cercado de Lima,No disponible,No disponible,
Otro,Supervisor de Almacén Junior (Coca Cola) Huacho,No disponible,No disponible,
Especialista en Ciberseguridad,Profesor Instructor  Ciberseguridad,No disponible,No disponible,
Otro,Asistentes Digitadores,No disponible,No disponible,
Otro,Analista de almacén (Packing),No disponible,No disponible,
Otro,Supervisor de Ventas /Canal Tradicional/Lima/Consumo Masivo,No disponible,No disponible,
Otro,Docentes – Electricidad Industrial,No disponible,No disponible,
Otro,Técnico de Soporte en Sitio ICA,No disponible,No disponible,
Otro,Docente de administración  Administración,No disponible,No disponible,
Otro,Instructor en  Mecánica de Mantenimiento,No disponible,No disponible,
Otro,Tecnico de Telecomunicaciones Exp en mantenimiento Sites Con licencia de conducir El Vraem,No disponible,No disponible,
Otro,Analista de TI,No disponible,No disponible,
Otro,Técnico administrativo / 10X10,No disponible,No disponible,
Otro,Técnico de laboratorio / Rayos X  Regimen 14x14 Junin,No disponible,No disponible,
Otro,Especialista en Base de Datos Puno,No disponible,No disponible,
Desarrollador de Software,Analista programador.python,No disponible,No disponible,
Otro,"Ejecutivo de Ventas MYPE, Asesor de Ventas / Planilla Completa + Beneficios",No disponible,No disponible,
Otro,Especialista en Base de Datos Puno,No disponible,No disponible,
Otro,Docentes  JP– Electricidad Industrial Sullana,No disponible,No disponible,
Otro,Gestor de Cobranza Jaén,No disponible,No disponible,
Otro,Gestor de Cobranza Bagua Capital,No disponible,No disponible,
Otro,Supervisor de Ventas Retail Lima,No disponible,No disponible,
Otro,Docentes  JC– Electricidad Industrial Sullana,No disponible,No disponible,
Otro,Matizador(a) de pinturas Tiempo Completo Promart Huancayo,No disponible,No disponible,
Otro,Auxiliar de TI,No disponible,No disponible,
Otro,Tecnicos Torreros con experiencia en montaje  y desmontaje de equipos de Telecomunicaciones,No disponible,No disponible,
Otro,Docente JP en Administración Industrial Sullana,No disponible,No disponible,
Otro,Asesor de Negocios  Virú,No disponible,No disponible,
Otro,Asistente de Atención en el  Hub de Información  (Sede Ica),No disponible,No disponible,
Otro,Auxiliar  en Contabilidad / Tiempo Completo,No disponible,No disponible,
Otro,Convocatoria para Jefe de venta de Campo / Rubro de Alimento de Mascotas y de Consumo Masivo,No disponible,No disponible,
Especialista en Ciberseguridad,Instructor JP Administacion de Ciberseguridad Sullana,No disponible,No disponible,
Otro,Tecnico Mecánico Automotriz,No disponible,No disponible,
Otro,Técnico de Soporte para Sistemas,No disponible,No disponible,
Otro,Instructor JP de Seguridad Industrial y Prevencion de Riesgos Sullana,No disponible,No disponible,
Desarrollador de Software,Desarrollador FullStack,No disponible,No disponible,
Otro,Asistente de Gerencia,No disponible,No disponible,
Otro,Coordinador de campo en transportes,No disponible,No disponible,
Otro,Controlador de Equipos  / Régimen 14x7 / Moquegua,No disponible,No disponible,
Otro,"Ingeniero en Administración de Data Center y Redes, Titulado y colegiado",No disponible,No disponible,
Otro,Asistente de Desarrollo de Aplicaciones/ Arequipa,No disponible,No disponible,
Especialista en Ciberseguridad,Analista de Seguridad de la Información y Ciberseguridad,No disponible,No disponible,
Otro,Auxiliar Contable / Tiempo Completo / Sede Lince,No disponible,No disponible,
Otro,Ejecutivo de atención al cliente,No disponible,No disponible,
Otro,Técnico de atención al público,No disponible,No disponible,
Otro,Ingeniero Pre Venta en Soluciones Tecnológicas,No disponible,No disponible,
Otro,Asesor de Productos en Tienda Movistar  Puente Piedra¡Trabaja con nosotros!,No disponible,No disponible,
Otro,Técnico en Telecomunicaciones / Licencia A1,No disponible,No disponible,
Otro,Coordinador de Proyectos y TI,No disponible,No disponible,
Otro,Practicante de Soporte TI,No disponible,No disponible,
Desarrollador de Software,Desarrollador Junior – Full Stack,No disponible,No disponible,
Otro,Asesor Educativo,No disponible,No disponible,
Otro,Analista de soporte n2,No disponible,No disponible,
Otro,Tecnico en sistemas,No disponible,No disponible,
Otro,Asistente contable,No disponible,No disponible,
Otro,Supervisor de Producción,No disponible,No disponible,
Otro,recepcionista,No disponible,No disponible,
Otro,Supervisor FM Ingeniero Civil,No disponible,No disponible,
Especialista en Ciberseguridad,Auxiliar de Redes y Ciberseguridad,No disponible,No disponible,
Otro,Ejecutivo comercial,No disponible,No disponible,
Otro,Especialista de Herramientas Analíticas de Riesgos,No disponible,Presencial y remoto,
Desarrollador de Software,Desarrollador en Phyton,No disponible,No disponible,
Otro,Especialista de Herramientas Analíticas de Riesgos,No disponible,Presencial y remoto,
Otro,Asesor de cobranza telefonica,No disponible,No disponible,
Otro,"Ventas, Cartas de Garantía",No disponible,No disponible,
Otro,Facturador/a Tiempo Completo  para Planta de Alimentos  Chorrillos,No disponible,No disponible,
Otro,Agencia de Carga Internacional requiere Ejecutivo de Cuentas Importación,No disponible,No disponible,
Otro,Coordinador de Mesa de Ayuda TI,No disponible,No disponible,
Otro,Analista de Programación y Gestión de la Producción (PGP),No disponible,No disponible,
DBA,Administrador de Base de Datos Oracle (DBA) /Remoto,No disponible,No disponible,
Otro,Jefe de BI / Analytics / Transformación Digital,No disponible,No disponible,
Otro,Gestor de Cobranza Motorizado con experiencias de preferencia contar con moto o vehículo propio,No disponible,No disponible,
Otro,Asistente contable activos  fijos,No disponible,No disponible,
Otro,Auxiliar de Recuento BCP San Isidro,No disponible,No disponible,
Otro,Analista Senior GTR /  Gestión en Tiempo Real para Call Center,No disponible,Presencial y remoto,
Otro,UPC: Asistente de Biblioteca / Campus Monterrico,No disponible,No disponible,
Otro,Asistente Comercial de Soluciones Tecnológicas – Servicios TI – San Isidro,No disponible,Presencial y remoto,
Otro,Especialista en Seguridad de la Información,No disponible,Presencial y remoto,
Otro,asistente de facturacion,No disponible,No disponible,
Otro,Supervisores de Frío  Sector Agroindustrial,No disponible,No disponible,
Otro,Técnico de reparación y mantenimiento de equipos de cómputo,No disponible,No disponible,
Otro,Supervisor de Mesa de Ayuda,No disponible,Presencial y remoto,
Otro,Coordinador(a)  Asistencial y Calidad (Tec. Méd),No disponible,No disponible,
Especialista en Ciberseguridad,Analista de Seguridad de la Información y Ciberseguridad,No disponible,No disponible,
Otro,"Docente de inicial, primaria y secundaria",No disponible,No disponible,
Otro,Operador de Servicios Administrativos,No disponible,No disponible,
Otro,Asistente de Ingeniería Eléctrica,No disponible,No disponible,
Otro,Docente en Refrigeración y Climatización  Refrigeración y Climatización,No disponible,No disponible,
Otro,Docente de 2da Especialidad de Enfermería  Proyecto de Investigación en Salud Familiar y Comunitario,No disponible,No disponible,
Otro,Webmaster,No disponible,No disponible,
Otro,Docentes – Electricidad Industrial,No disponible,No disponible,
Otro,Coordinador de Soporte Técnico,No disponible,No disponible,
Otro,Asistente de almacén,No disponible,No disponible,
Otro,ingeniero especialista,No disponible,No disponible,
Otro,Asesor/ Soporte Técnico de tienda Mall Aventura Chiclayo,No disponible,No disponible,
Otro,Docente de Pregrado Bioestadística aplicada a la nutrición,No disponible,No disponible,
Otro,Monitor de Gps,No disponible,No disponible,
Otro,Técnico Agronomo,No disponible,No disponible,
Desarrollador de Software,Programador  de sistemas,No disponible,No disponible,
Otro,Auxiliar de Seguridad Física,No disponible,No disponible,
Otro,Operador de Call Center,No disponible,No disponible,
Otro,Profesor instructor  Ing. de Software Paita,No disponible,No disponible,
Otro,Asistente  de Contabilidad / Sede Lince,No disponible,No disponible,
Otro,Operador de GPS/Puente Piedra,No disponible,No disponible,
Otro,Coordinador de Tecnología y Transformación Digital (Cajamarca),No disponible,No disponible,
Otro,Analista QA TI Junior,No disponible,No disponible,
Otro,Asistente de supervisor,No disponible,No disponible,
Otro,Asistente de Almacén,No disponible,No disponible,
Otro,Supervisor de campo,No disponible,No disponible,
Otro,Asesor de Call Center / Cobranzas,No disponible,No disponible,
Otro,Coordinador de Cuenta con Experiencia en Prevención de Perdidas Retail y Seguridad Patrimonial,No disponible,No disponible,
Otro,Técnico/a en farmacia,No disponible,No disponible,
Otro,Soporte Técnico en Sistemas,No disponible,No disponible,
Otro,Agendar citas,No disponible,No disponible,
Otro,Ejecutivo Comercial de Energía Renovable,No disponible,No disponible,
Otro,Asistente de Almacén,No disponible,No disponible,
Otro,Diseñador de Moda Categoría Infantil / Arequipa,No disponible,No disponible,
Otro,Técnico Electrico Especialista Interior Mina(Trackless / Inmaculada),No disponible,No disponible,
Otro,Técnico de laboratorio Banco de sangre,No disponible,No disponible,
Otro,Operador de Balanza / Balancero / Callao,No disponible,No disponible,
Otro,Médico Patólogo por Suplencia,No disponible,No disponible,
Analista de Datos,Analista de datos,No disponible,No disponible,
Desarrollador de Software,Software Developer,No disponible,Presencial y remoto,
Otro,Jefe de la Oficina de Sistemas y Tecnologías de Información,No disponible,No disponible,
Otro,Tenico de Soporte,No disponible,No disponible,
Otro,Técnica de Enfermería,No disponible,No disponible,
Otro,Ingeniero Ssoma I,No disponible,No disponible,
Otro,Atención al Cliente Ecommerce/ Turno Mañana y Amanecida,No disponible,No disponible,
Otro,Gestor de servicios,No disponible,No disponible,
Otro,Operador de centro de control y monitoreo CCTV 15x7,No disponible,No disponible,
Otro,Asistenta Dental,No disponible,No disponible,
Otro,Operador de Cámaras CCTV,No disponible,No disponible,
Otro,Practicantes,No disponible,No disponible,
Otro,Convocatoria Docente,No disponible,No disponible,
Desarrollador de Software,Desarrollador Full Stack,No disponible,No disponible,
Desarrollador de Software,Programador de Citas con experiencia en Salud Ocupacional,No disponible,No disponible,
Otro,Auxiliar de planificación y control de la producción,No disponible,No disponible,
Desarrollador de Software,Lima: Programador Multiplataformas,No disponible,No disponible,
Otro,Auxiliar de procesos,No disponible,No disponible,
Otro,Supervisor de Almacén Junior (Coca Cola) Chiclayo,No disponible,No disponible,
Otro,Soporte Técnico Freelance / Lima,No disponible,No disponible,
Otro,Supervisor de Almacén Junior (Coca Cola) Chiclayo,No disponible,No disponible,
Otro,Soporte Técnico Freelance / Lima,No disponible,No disponible,
Soporte Técnico,Soporte Tecnico,No disponible,No disponible,
Otro,Practicante contable,No disponible,No disponible,
Otro,Asistente de tecnología,No disponible,No disponible,
Otro,Supervisor Junior  en proyectos de digitalización Jesus Maria o Villa el Salvador,No disponible,No disponible,
Otro,Practicante Profesional de Sorpote de TI,No disponible,Presencial y remoto,
Otro,Coordinador  comercial de Transportes,No disponible,No disponible,
Otro,Jefe  de logística,No disponible,No disponible,
Otro,Señorita para Ventas en vivo Tik Tok de productos de tecnologia,No disponible,No disponible,
Otro,Asistente de base de datos,No disponible,No disponible,
Otro,Practicante Profesional de Grandes Clientes / Sector hidrocarburos,No disponible,No disponible,
Otro,Escuela de Negocios MiBanco/ Ag. Camana/ MiBanco / Movilidad + Comisiones,No disponible,No disponible,
Otro,Auxiliar  en Contabilidad / Tiempo Completo,No disponible,No disponible,
Otro,Operario de Almacen,No disponible,No disponible,
Otro,Supervisor de Cuenta con Experiencia en Prevención de Perdidas Retail,No disponible,No disponible,
Otro,Jefe de mantenimiento de planta y seguridad,No disponible,No disponible,
Desarrollador de Software,Programador Web ERP,No disponible,Presencial y remoto,
Otro,asesor/a call center ventas,No disponible,Presencial y remoto,
Desarrollador de Software,Analista programador Angular / Java,No disponible,Presencial y remoto,
Otro,Asesor Comercial,No disponible,No disponible,
Otro,Técnico de Computación,No disponible,No disponible,
Otro,Técnico de Soporte Junior,No disponible,No disponible,
Soporte Técnico,"Soporte Tecnico Nivel 1, ISP",No disponible,No disponible,
Otro,Somos una empresa del rubro principal es minería ubicados en la ciudad de Pataz,No disponible,No disponible,
Desarrollador de Software,Desarrollador Fullstack Senior y Semi Senior,No disponible,No disponible,
Otro,Especialista en Cobranzas,No disponible,No disponible,
Otro,Ejecutivo de Ventas B2B y B2C,No disponible,No disponible,
Otro,Practicante o asistente administrativo junior,No disponible,No disponible,
Otro,Supervisor de ventas Lima Sta Anita,No disponible,No disponible,
Otro,asistente social,No disponible,No disponible,
Otro,Asesor Comercial,No disponible,Presencial y remoto,
Otro,Asistente de Gerencia,No disponible,No disponible,
Otro,tecnica farmaceutica,No disponible,No disponible,
Otro,Auxiliar de Administración y Marketing,No disponible,No disponible,
Otro,Analista de Base de Datos / Régimen Minero / Apurimac,No disponible,No disponible,
Otro,Supervisor Ssoma,No disponible,No disponible,
Otro,Técnico de Laboratorio,No disponible,No disponible,
Otro,Técnico Instalador HFC/ FTTH Claro Sede El Agustino,No disponible,No disponible,
Otro,Analista de QA / Tester de Software,No disponible,Presencial y remoto,
Otro,cajero general,No disponible,No disponible,
Desarrollador de Software,analista programador/a de sistemas,No disponible,No disponible,
Otro,Analista de Desarrollo Tecnológico,No disponible,Presencial y remoto,
Otro,administrativo/a recepcionista,No disponible,No disponible,
Otro,Bartender,No disponible,No disponible,
Otro,Practicante pre profesional Contabilidad,No disponible,No disponible,
Otro,Monitor de transporte,No disponible,No disponible,
Otro,Atención al Cliente en Ferretería,No disponible,No disponible,
Otro,Administrador/a,No disponible,No disponible,
Otro,Secretaría administrativa,No disponible,No disponible,
Otro,Técnico de Sistemas TI,No disponible,No disponible,
Desarrollador de Software,Software Developer,No disponible,Presencial y remoto,
Otro,líder de proyecto,No disponible,No disponible,
Otro,Asesores de Créditos Grupales,No disponible,No disponible,
Otro,Asesores de Créditos Grupales,No disponible,No disponible,
Analista Funcional,Analista de Sistemas,No disponible,No disponible,
Otro,Analista Comercial,No disponible,No disponible,
Otro,Coordinadora de operaciones,No disponible,No disponible,
Otro,Asesor de Créditos Grupales,No disponible,No disponible,
Otro,Asesores de Créditos Grupales,No disponible,No disponible,
Otro,analista de crédito  call center,No disponible,No disponible,
Otro,Ingeniero Supervisor de Campo,No disponible,No disponible,
Otro,almacenero/a,No disponible,No disponible,
Otro,Técnico de tecnología de información,No disponible,No disponible,
Otro,Técnico de Soporte TI,No disponible,No disponible,
Otro,Cajera Apuestas Deportivas,No disponible,No disponible,
Otro,Asesor Comercial – Servicios Generales,No disponible,Presencial y remoto,
Otro,Asistente de Soporte Técnico,No disponible,No disponible,
Otro,Ejecutivo de Recuperaciones Mibanco Olmos,No disponible,No disponible,
Otro,Jefe de calidad,No disponible,No disponible,
Otro,recepcionista hotel,No disponible,No disponible,
Otro,D´Luchos pillería,No disponible,No disponible,
Otro,Asesor Comercial/Técnologo médico,No disponible,No disponible,
Otro,técnico electrónica,No disponible,No disponible,
Otro,Supervisor de logística,No disponible,No disponible,
Otro,auxiliar de almacén e inventarios,No disponible,No disponible,
Otro,gestor cobranza,No disponible,No disponible,
Otro,Especialista Bilingüe de Atención al Cliente para Clínica en California U.S.A.,No disponible,No disponible,
Desarrollador de Software,Practicante  de sistema y Desarrollador Programador Web,No disponible,No disponible,
Otro,Empresa de Pollos y Parrillas Administrador de Restaurante,No disponible,No disponible,
Otro,Asistente administrativo,No disponible,No disponible,
Otro,Quality Asssurance Automation Engineer 35094,No disponible,No disponible,
Otro,Técnico en Soporte Nivel 2 35093,No disponible,No disponible,
Otro,Almacenero,No disponible,No disponible,
Otro,coordinador ti,No disponible,No disponible,
Desarrollador de Software,Practicante Ingeniería de sistema / Desarrollador Programador Web,No disponible,Presencial y remoto,
Otro,Asesor Inmobiliario Junior y Senior,No disponible,No disponible,
Otro,Auxiliar soporte técnico,No disponible,No disponible,
Desarrollador de Software,Desarrollador Frontend,No disponible,Presencial y remoto,
Otro,Jefe Comercial Inmobiliario,No disponible,No disponible,
Otro,Anfitriona,No disponible,No disponible,
Otro,operador central de alarmas,No disponible,No disponible,
Otro,Asistente contabilidad,No disponible,Presencial y remoto,
Otro,Jefe de administración y talento humano de Aprenda,No disponible,Presencial y remoto,
Otro,Técnico Instalador de Internet HFC / FTTH,No disponible,No disponible,
Otro,Asistente contabilidad,No disponible,No disponible,
Otro,Auxiliar de almacén montacarguista,No disponible,No disponible,
Otro,"Investigadores en  Ingeniería Química, Civil , Estadística y entre otros",No disponible,No disponible,
Otro,Ejecutivo de recuperaciones mibanco Olmos,No disponible,No disponible,
Otro,administrador ventas,No disponible,No disponible,
Otro,Asesor de Ventas / Comisiones,No disponible,No disponible,
Otro,Practicante de administracion Computación y Secretariado,No disponible,No disponible,
Otro,técnico sistemas,No disponible,No disponible,
Otro,Asistente de auditoria interna,No disponible,No disponible,
Otro,Analista de Tesorería,No disponible,No disponible,
Otro,Sólo en Huaraz Practicante de Programación,No disponible,No disponible,
Otro,Ejecutivo de Ventas,No disponible,No disponible,
Otro,Asistente de Area de Operaciones,No disponible,Presencial y remoto,
Otro,Cajero(a),No disponible,No disponible,
Otro,Asistente de almacén,No disponible,No disponible,
Otro,asistente contabilidad,No disponible,No disponible,
Desarrollador de Software,Analista Programador Java 11 Fullstack,No disponible,No disponible,
Otro,secretario/a de ventas,No disponible,No disponible,
Otro,Asistente de Sistemas L1,No disponible,No disponible,
Otro,técnico contable,No disponible,No disponible,
Otro,Diseñador Grafico,No disponible,No disponible,
Otro,supervisor operaciones,No disponible,No disponible,
Otro,docente de lengua y literatura comunicación,No disponible,No disponible,
Otro,operador de centro de control,No disponible,No disponible,
Otro,Asistente contable,No disponible,No disponible,
Otro,Técnico Mecánico M2 Maquinaria Pesada,No disponible,No disponible,
Otro,Vendedor Corporativo,No disponible,No disponible,
Otro,Administrador de Inmuebles,No disponible,No disponible,
Otro,Técnico Mecánico de Maquinaria Pesada,No disponible,No disponible,
Otro,Editor Audiovisual,No disponible,No disponible,
Otro,asistente contabilidad,No disponible,No disponible,
Otro,asistente contabilidad/administrativo,No disponible,No disponible,
Otro,Secretaria de ventas,No disponible,No disponible,
Otro,Buscamos Médico Evaluador,No disponible,No disponible,
Otro,Asistente de Planillas,No disponible,No disponible,
Otro,Jefe de taller,No disponible,No disponible,
Otro,Asistenta Social,No disponible,No disponible,
