puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Ingeniero de Machine Learning,Ingeniero de machine learning,No disponible,Presencial y remoto,
Otro,IT Operations Coordinator / Sector Minería/Hidrocarburos,No disponible,Presencial y remoto,
Otro,Operador cctv / Cercado de Lima /24x24,No disponible,No disponible,
Desarrollador de Software,Analista programador NET CORE,No disponible,No disponible,
Otro,Si te apasionan las ventas! Únete y gana hasta 2000 + bonos ilimitados! escoge tus horarios!,No disponible,No disponible,
Otro,Checker,No disponible,No disponible,
Otro,Técnico de soporte de dispositivos móviles y de cómputo,No disponible,No disponible,
Otro,Asistente de soporte técnico TI,No disponible,No disponible,
Otro,Operador de planta 2,No disponible,No disponible,
Otro,Prevencionista de Seguridad // Casino Golden Palace,No disponible,No disponible,
Otro,Controller Regular,No disponible,No disponible,
Otro,Asistente administrativo con experiencia en Restaurantes,No disponible,No disponible,
Desarrollador de Software,Desarrollador de Software Jr.,No disponible,No disponible,
Otro,Asistente de reclutamiento de Flota / perfiles masivos,No disponible,Presencial y remoto,
Otro,Asistente legal San Isidro,No disponible,No disponible,
Otro,Auxiliar administrativo/a San Isidro,No disponible,No disponible,
Otro,Practicante electricista,No disponible,No disponible,
Otro,Atención al cliente y ventas Cusco,No disponible,No disponible,
Otro,Se busca Teleoperadores de Ventas Para Trabajo Remoto! Full Time 8Am a 5Pm Home Office,No disponible,No disponible,
Otro,Financiera oh! Ejecutivo de Ventas / Full Time o Part Time /Plaza Vea Santa Clara,No disponible,No disponible,
Otro,Auxiliar de Soporte TI Full Time Turno Tarde / UTP Lima Centro,No disponible,No disponible,
Otro,Técnico/ Auxiliar de Calidad con experiencia en plantas industriales para Comas,No disponible,No disponible,
Otro,Medico Ocupacional / Surco / L a S 7am a 4pm,No disponible,No disponible,
Otro,Movistar Benavides buscamos Asesor/a de Atención al Cliente y Ventas,No disponible,No disponible,
Otro,Asesor de Negocios / Chincha,No disponible,No disponible,
Otro,Asesor de Negocios / Sede Huachipa,No disponible,No disponible,
Otro,Movistar Megaplaza ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,No disponible,No disponible,
Otro,Asesor de Negocios / Sede Tarma,No disponible,No disponible,
Otro,Movistar Ayacucho ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,No disponible,No disponible,
Otro,Movistar Mall Comas  ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,No disponible,No disponible,
Otro,Asistente Contable,No disponible,No disponible,
Desarrollador de Software,Programador junior/ Analista de programación con conocimiento en phython/ingreso a planilla completa,No disponible,No disponible,
Otro,Asesor de Negocios / Sede Miraflores / Lima,No disponible,No disponible,
Otro,Supervisor,No disponible,No disponible,
Otro,Asistente administrativo de almacen,No disponible,No disponible,
Otro,Asesor Call Center / San Isidro,No disponible,No disponible,
Especialista Cloud,Modelador de Datos GCP,No disponible,No disponible,
Otro,Gestor de Proyectos,No disponible,Presencial y remoto,
Otro,Operador de centro de control,No disponible,No disponible,
Desarrollador de Software,Analista Programador Fullstack  Sector Seguros,No disponible,No disponible,
Otro,Auxiliar Logístico / Lurín,No disponible,No disponible,
Otro,Operativo de Atención al Cliente (Campañas de Salud Ocupacional),No disponible,No disponible,
Ingeniero de Datos,Ingeniero de datos GCP,No disponible,Presencial y remoto,
Otro,Medico Ocupacional / L a S 10am  2pm / Arequipa,No disponible,No disponible,
Otro,Movistar Calle real Huancayo ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,No disponible,No disponible,
Desarrollador ETL,Trabajo Desde Casa Desarrollador ETL / Ref. 0339,No disponible,No disponible,
Otro,Trabajo Desde Casa Ingeniero ETL / Ref. 0339,No disponible,No disponible,
Otro,Asistente Comercial,No disponible,No disponible,
Otro,Técnico de Laboratorio Clínico ( Flebotomista ) Arequipa,No disponible,No disponible,
Otro,Inspector de laboratorio de medidores de Agua,No disponible,No disponible,
Otro,Técnico de Laboratorio Clínico ( Flebotomista ) Piura,No disponible,No disponible,
