puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Medico Ocupacional / L a S 10am  2pm / Arequipa,S.G NATCLAR SAC,,,
Movistar Calle real Huancayo ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,,,
Clasificado por Reglas,BairesDev LLC,,,
Trabajo Desde Casa Ingeniero ETL / Ref. 0339,BairesDev LLC,,,
Asistente Comercial,COMSITEC HOLDINGS S.A.C.,,,
Técnico de Laboratorio Clínico ( Flebotomista ) Arequipa,Precisa - Laboratorio Clínico,,,
Inspector de laboratorio de medidores de Agua,Industrias Triveca S.A.C.,,,
Técnico de Laboratorio Clínico ( Flebotomista ) Piura,Precisa - Laboratorio Clínico,,,
Trabajo Desde Casa Delivery Manager / Ref. 0338,BairesDev LLC,,,
Practicante Profesional de Programación / Desarrollo de Software,BSG Institute,,,
Operador de Centro de Control / Régimen General / Chorrillos / Turnos Rotativos,,,,
Enfermero(a) en Dx de Imágenes  Consulta Externa Clínica Delgado,Grupo AUNA,,,
Digitador (a) turno mañana / Digitador (a) turno noche,POLYSISTEMAS CORP S.A.C.,,,
Técnico de Sistemas Contra Incendios,TRIZCON SAC,,,
Técnico de Sistemas Contra Incendios con AFEX,TRIZCON SAC,,,
Asistente de Facturación y Cobranzas,AGL TRANSPORT S.A.C.,,,
Analista programador Fullstack,SC Ingeniería y construcción,,,
Asesor de Negocios / Sede Ica,CAJA TRUJILLO,,,
Asesor de Negocios  / Sede Tingo María,CAJA TRUJILLO,,,
Asesor de Negocios  / Sede Cerro de Pasco,CAJA TRUJILLO,,,
Asesor de Negocios  / Sede Chupaca,CAJA TRUJILLO,,,
Científico de Datos/experiencia en MINA/Titulado/inglés intermedio,Adecco Perú S.A.,,,
Analista de salud ocupacional / UM 14X7,,,,
Asistente Administrativo Comercial,,,,
Auxiliar de Almacén  / Empresa Alimentos,,,,
Asesores de Call Center con o sin experiencia / Sueldo fijo de s/. 1600 al mes + bonificaciones,CALLYPSO PERU S.A.C.,,,
Auxiliar de Almacén  / Empresa Alimentos,,,,
Auxiliar de Telecomunicaciones / La Victoria / Híbrido,GREEN SOLUTIONS GROUP,,Presencial y remoto,
Practicante de soporte tecnico,SC Ingeniería y construcción,,,
¡Atención Lima ! Se requiere Vendedores Movistar en Campo / Líneas Móvil  ¡Planilla Completa!,AUREN SA,,,
Auxiliar Basc,Agualima SAC,,,
Asistente de Sistemas,Jump Publicidad y Marketing,,,
Asesores de Venta / Chat y Llamadas / Comisiones + Bonos Diarios y Semanales,INCLICK CONTAC CENTER S.A.C.,,,
Asistente de costos,,,,
Auxiliar de procesamiento de datos/ Excel Intermedio/ San Isidro,Grupo Tawa,,,
Recepcionista para Clínica Dental,RECREATIVOS CAMBRIDGE S.A.C.,,,
Asistente  administrativa/Cajero para Restaurante Barranco,Aramburú Matriz,,,
Trabajo Desde Casa Analista de Negocios / Ref. 0031,BairesDev LLC,,,
Asistente de Almacén,La Calera S.A.C.,,,
Auxiliar de Help Desk / San Martin de porres,SaniCenter SAC,,,
Auxiliar de Servicios,Ittsabus,,,
Coordinador(a) de Soporte Técnico/ Villa el Salvador,UNIVERSIDAD AUTONOMA DEL PERU S.A.C.,,,
Operador de Base de Datos,Aincrad,,,
¡Trabaja como Asesor de Ventas Ecommerce! ¡Capacitaciones cortas! ¡Bonos Diarios y Semanales!,INCLICK CONTAC CENTER S.A.C.,,,
Asistente de Almacén / Villa El Salvador,Manpower,,,
Buscamos Pusher de Ventas,A365,,,
Clasificado por Reglas,BairesDev LLC,,,
BCP /Operador de Canales electronicos II / Lima / Chorrillos,Adecco Perú S.A.,,,
Capitán de mozos y Jefe de restaurante,Eurofirms Perú,,,
ingeniero especialista,ACOSAC,,,
Operario de montacarga con brevete A1,Adecco Perú S.A.,,,
Requerimos Técnicos en Farmacia!!!!,Clinica Cayetano Heredia,,,
"Operario de Almacen en Congelados / S/.1525,50",Adecco Perú S.A.,,,
Asistente de Proyectos de Innovación TI,MF Asesoria y Consultoria SAC,,,
Analista de Soporte de implementacion de sistemas,SOL TECHNOLOGIES S.A.C.,,Presencial y remoto,
Gerente de Tecnología de la Información,,,,
Analista de Infraestructura / TI / Callao,,,,
Especialista de Mantenimiento de Sistemas,Bigmond Group,,,
Analista de Soporte Ténico (TI),Aincrad,,,
Ayudantes de almacén (Punta Hermosa),Hermes Transportes Blindados SAC.,,,
Facilitador de Desarrollo,Asoc. Fundación Contra el Hambre,,,
Coordinador de Seguridad y Salud en el Trabajo,,,,
Coordinador de Analítica Estratégica de Talento Humano (Agroindustria Ica),Grupo Proterra SAC,,,
Coordinador(a) de mantenimiento electromecánico,,,,
Supervisor de Seguridad Zonal / Licencia de conducir de Auto y de Moto,,,,
Especialista en Business Intelligence para Gestión Humana (Ica),Grupo Proterra SAC,,,
Asistente BI – SQL Avanzado(automatización datos),Panorama Bpo,,,
"Técnico de Mantenimiento/Peaje Sur/ MT, BT Y SED",Grupo Tawa,,,
Asistente de Operaciones,Transportes Elio S.A.C.,,,
Practicante de Administración de base de datos/ Dominio de SQL Intermedio,Biznes Sac,,,
Analista de sistemas SAP 4 en Salamanca,,,,
Asistente de Sistemas,FLAMINGO GAMES S.A.C.,,,
Auxiliar de control de acceso  Callao,Grupo Unimar S.A.,,,
Personal de mantenimiento varios,ASOCIACION CIVIL CLUB NAUTICO POSEIDON,,,
Practicante profesional de TI,Distribuidora Comercial Alvarez Bohl SRL,,,
Asistente de Procesos/Gestión de indicadores/ Rubro Inmobiliario,C.M. Y S.,,,
Asistente técnico,Adecco Perú S.A.,,,
Gestor de Cobranza Moyobamba,CAJA TRUJILLO,,,
Gestor de Cobranza Chachapoyas,CAJA TRUJILLO,,,
Clasificado por Reglas,,,Presencial y remoto,
Gestor de Soluciones de Negocio,Los Portales,,,
"Escoge tu horario! Buscamos asesores comerciales! atc + ventas, gana hasta S/2000 + bonos ilimitados",CALLYPSO PERU S.A.C.,,,
"¡Buscamos asesores comerciales, elige tu horario! !atc + ventas, gana hasta S/2000 + bonosilimitados",CALLYPSO PERU S.A.C.,,,
Técnico (a) de toma de muestra con experiencia procesamiento de análisis clínicos,Berman Lab,,,
Asistente de TI Soporte,Grupo San Pablo,,,
Asistente de Digitación de Almacén,Laboratorios SMASAC,,,
médico/a asistencial,SINDICATO NACIONAL DE EMPLEADOS PUBLICOS DE LA MARINA DE GUERRA DEL PERU SINEP-MAR,,Presencial y remoto,
Soporte Técnico Junior / Call Center / San Juan de Lurigancho,,,,
Supervisor/a de Limpieza,SSAYS SAC,,,
Asistente de Ti Infraestructura para Empresa de Transporte de Carga Pesada,,,,
Auxiliar de Control Patrimonial/Huachipa/Planilla y Beneficios Sociales Completos,DISTRIBUIDORA BAJOPONTINA,,,
Clasificado por Reglas,TRUSTCORP SAC,,,
Operario de Almacén/ Lurin/ Horario fijo,Total Talent Human Resources,,,
Soporte Técnico Nivel 2,SISTEMAS TECNOLOGICOS INTEGRALES CORPORATIVOS S.A.C.,,,
Soporte Técnico Nivel 2 (Andahuaylas),SISTEMAS TECNOLOGICOS INTEGRALES CORPORATIVOS S.A.C.,,,
Jefe de TI / Rubro Logistica,Transportes Austral Group S.A.C.,,,
auxiliar soporte técnico,CHAN CHAN AMARYL S.A.C,,,
Asistente de TI,Newport Capital SAC,,,
Técnico de Automatización Industrial,,,,
Content Manager / Community Manager,,,,
Auxiliar de Sistemas,Bissú Accesorios,,Presencial y remoto,
Jefe de ventas  Consumo Masivo,,,,
Reclutador de Oficina,,,,
Prevencionista de riesgos,AUREN SA,,,
Asistente legal Empresarial,AUREN SA,,,
Programador. NET,Grupo Expro,,Presencial y remoto,
Encargado de Almacén / Iquitos,Ransa Comercial  S.A.,,,
Urgente Técnico Químico / Sueldo S/1710 / Alimentación / Movilidad / Horas Extras / Lurín KM 40,Total Talent Human Resources,,,
Asistente de soporte técnico,,,,
Asistente de soporte técnico N2 / La Victoria,GREEN SOLUTIONS GROUP,,,
Admisionista Ambulatorio / Clínica San Juan Bautista (Grupo San Pablo),Grupo San Pablo,,,
Asistente In House /  Cercado de Lima,Afe Service Sac,,,
Asistentes administrativos con experiencia en restaurantes/ Zona Sur,Corporación Roky´s,,,
Asistente de Ventas Repuestos,RESEMIN,,,
Jefe Almacén de productos terminados,,,,
Especialista de sistemas y soporte Técnico / Independencia,,,,
Busser/Corredor Full Time,Inversiones Fisa,,,
Analista Soporte Técnico TI en rubro Call Center / Santiago de Surco,,,,
Asistente SAP,,,,
Especialista técnico People Soft,Grupo Educa_d,,Presencial y remoto,
Almacenero/a  Ferretero Turno Mañana/Noche,SERVOSA,,,
Técnico Mecánico,Llamagas,,,
Líder de Operaciones,Manpower,,,
Líder de Almacen,Manpower,,,
Líder de Operaciones,Manpower,,,
Operador de Maquina / Calibradora Maf Roda,Manpower,,,
Supervisor de Maquina  / Calibradora Maf Roda,Manpower,,,
Soporte TI,Telsur Peru,,,
Clasificado por Reglas,Valtx,,,
Responsable de sistemas de informacion,,,,
Analista Programador Full Stack,,,Presencial y remoto,
Analista de QA,RECSA PERÚ,,,
Programador (Temporal),Caja Rural de Ahorro y Credito Los Andes S.A.,,,
Auxiliar de Telecomunicaciones / La Victoria / Híbrido,GREEN SOLUTIONS GROUP,,Presencial y remoto,
Asistente de Operaciones,EMERGENT COLD LOGISTICS S.R.L.,,,
Docente de Desarrollo de Sistema de Información / Interconexión de Redes,inLearning Escuelas de Educación Superior,,,
Analista Programador Fullstack  Junior,Materia Gris,,,
Supervisor de Operaciones,,,,
Arquitecto de Datos,Grupo Educa_d,,Presencial y remoto,
Asistente de TI,Para Rayos,,,
Docente de Historia y Ciencias Sociales  Colegio Zárate,Empresa Educativa ZAVER SAC,,,
Analista de Infraestructura Cloud,,,Presencial y remoto,
Ate: Diseñador Mecánico,RD Rivera Diesel S.A.,,,
Programador (Temporal),Caja Rural de Ahorro y Credito Los Andes S.A.,,,
Jefe de Tienda,Inti Raymi S.A.,,,
Analista de costos Contable,Llamagas,,,
Agente de Seguridad con experiencia en CCTV.Piura,El Pedregal,,,
Jefe de Tienda,Inti Raymi S.A.,,,
Trabajo Desde Casa Analista de Soporte de TI / Ref. 0080,BairesDev LLC,,,
BCP / Asesor Outbound IO Senior,Adecco Perú S.A.,,,
Técnico de Mantenimiento / Unid. Minera Antamina,TRIZCON SAC,,,
Asistente  administrativa/Cajero para Restaurante Barranco,Aramburú Matriz,,,
Técnico de Mantenimiento / Residir en Lima,TRIZCON SAC,,,
Técnico de Mantenimiento / Residir en Lima,TRIZCON SAC,,,
Técnico de Mantenimiento,TRIZCON SAC,,,
Asesor de Negocios / Chincha,CAJA TRUJILLO,,,
Trabajo Desde Casa Ingeniero ETL / Ref. 0339,BairesDev LLC,,,
Técnico de Sistemas Contra Incendios,TRIZCON SAC,,,
Técnico de Sistemas Contra Incendios con AFEX,TRIZCON SAC,,,
Supervisor(a) de Cajas Tienda Tottus Canta Callao,FALABELLA CORPORATIVO PERÚ,,,
Ayudante de Mantenimiento,Panorama Bpo,,,
Mecánico de Mantenimiento / Planta Textil,Panorama Bpo,,,
Programador de sistemas,,,,
Trabajo Desde Casa Analista de Negocios / Ref. 0031,BairesDev LLC,,,
Clasificado por Reglas,BairesDev LLC,,,
Financiera oh! Ejecutivo de Ventas Plaza Vea Ilo/ Part time o Full Time,Grupo Intercorp,,,
Financiera oh! Se requiere Ejecutivo de Ventas Plaza Vea Ica,Grupo Intercorp,,,
Analista Programador / Miraflores / Inglés Intermedio,Consulting Advisers,,,
Operario Mecánico (Ayacucho),Grupo Tawa,,,
Técnicos Instaladores FTTH/HFC Altas,LPS,,,
Oficial Mecánico (Ayacucho),Grupo Tawa,,,
Asistente de Almacén / Villa El Salvador,Manpower,,,
"Técnico de mantenimiento para Arequipa / Sueldo S/2,103 + S/300 de movilidad",Prosegur,,,
"Técnico de mantenimiento para Lima / Sueldo S/2,103 + S/300 de movilidad",Prosegur,,,
"Técnico de mantenimiento para Tingo María / Sueldo S/2,103 + S/300 de movilidad / Trabajo remoto",Prosegur,,,
Escuela de Negocios MiBanco/ Ag. Israel/ MiBanco / Movilidad + Comisiones  + Utilidades,Adecco Perú S.A.,,,
Soporte Técnico/La Victoria/Temporal,GREEN SOLUTIONS GROUP,,,
Obrero de Almacén Campo,Agrovision Peru Sac,,,
Docente Pregrado Trabajo de Investigación de Enfermería,Universidad de Ciencias y Humanidades,,,
Auxiliar de Soporte TI / Iquitos,,,,
Docente Pregrado Nutrición y Dietoterapia,Universidad de Ciencias y Humanidades,,,
Trabajo Desde Casa Analista de Soporte de TI / Ref. 0080,BairesDev LLC,,,
Auxiliar de Soporte TI / Pucallpa,,,,
"Docente Pregrado Microbiología y parasitología, Biología celular",Universidad de Ciencias y Humanidades,,,
Auxiliar de Soporte TI / Tacna,,,,
"Docente Pregrado Software y tecnología en la salud, Enfermería en salud del niño y adolescente II",Universidad de Ciencias y Humanidades,,,
Auxiliar de operaciones post cosecha Dirigido a Mujeres y Hombres,Danper Trujillo SAC,,,
Gestor de Cobranza Part Time / Lima ( Cono Norte y Cono Sur),CAJA TRUJILLO,,,
Data Scientist,Grupo San Pablo,,,
Analista de Planificación Académica,Grupo Educa_d,,,
Docente Pregrado de Taller de Inteligencia Intrapersonal e Interpersonal,Universidad de Ciencias y Humanidades,,,
Supervisor de Gestión Tecnológica y Soporte TI,Innova Schools,,,
Trabajo Desde Casa Ingeniero ETL / Ref. 0339,BairesDev LLC,,,
Gestor de Cobranza  Part Time  / Norte,CAJA TRUJILLO,,,
Digitador/a  Arándano,Danper Trujillo SAC,,,
Docente Pregrado de Desarrollo de Hábitos Saludables,Universidad de Ciencias y Humanidades,,,
Asesor de Ventas Campo Sector Automotriz / Repuestos,Arch Latam,,,
Asesor/ Soporte Técnico de tienda Mall Aventura SJL,Well HR,,,
Analista programador Full Stack,Soler & Palau Perú,,,
asistente contabilidad,IMERCO SAC,,,
Clasificado por Reglas,,,Presencial y remoto,
Analista de Servidores,Atento Perú,,,
Buscamos Asesor de Ventas Campo (Repuestos Automotrices),Arch Latam,,,
Practicante Profesional  Soporte técnico – Service Desk,Canvia,,,
Ingeniero de Desarrollo Digital Junior,KOMATSU - MITSUI MAQUINARIAS,,Presencial y remoto,
Se busca Teleoperadores de Ventas Para Trabajo Remoto! Full Time 8Am a 5Pm Home Office,,,,
Especialista de Cobranza,SFPE S.A.C.,,,
Asesor/a call center ventas Internet,FUTURA REINGENIERIA INNOVACION S.A.C.,,,
Cajera Administrativa,URBAN BRASA,,,
Ejecutiva de Operaciones / Sullana,COOPAC Santa Isabel,,,
secretaria,IMERCO SAC,,,
Controlador Satelital,Raciemsa,,,
Asesor de Negocios La Negrita,CAJA TRUJILLO,,,
Auxiliar Administrativo/a,Danper Trujillo SAC,,,
Analista de sistemas,,,,
Analista de Nómina,AGRICOLA CERRO PRIETO S.A,,,
Analista de Soporte en Ayacucho Huamanga,,,,
"Medico Asistencial Espinar, Cusco 10x10",,,,
Atención al cliente,Alo Taxi,,,
Auxiliar  en Contabilidad / Tiempo Completo,Sef Peru Holding SAC,,,
Vendedor de Repuestos / Rubro Automotriz,Arch Latam,,,
Supervisor de Seguridad Jr.,Hagemsa SAC,,,
Asistente de Almacén / Villa El Salvador,Manpower,,,
Clasificado por Reglas,BairesDev LLC,,,
Clasificado por Reglas,Aincrad,,,
Auxiliar Contable,FERTICROPS S.A.C.,,,
Clasificado por Reglas,APIS CONSORCIO SAC,,,
Clasificado por Reglas,APIS CONSORCIO SAC,,,
Arquitecto de integraciones,Valtx,,,
Asistente de Infraestructura y telecomunicaciones,RCS CAPITAL HUMANO,,,
Asistente de recursos humanos (Grifo en Chorrillos),,,,
Jefe de Recursos Humanos,CLÍNICA SANTA CRUZ,,,
Recruiter IT,,,,
Supervisor FM Arquitecto,SERVICIOS INTEGRALES MARITIMOS S.A.,,,
Especialista de IA generativa,Grupo Educa_d,,Presencial y remoto,
Médico internista o emergenciologo o intensivista,S.G NATCLAR SAC,,,
Frontend Developer Angular,NTT DATA,,Presencial y remoto,
Auxiliar de sistemas,Grupo Once SAC,,,
Operador de GPS,,,,
Analista de costos,,,,
Clasificado por Reglas,BOTICAS PERU,,,
Ate: Asesor Comercial de Proyectos,RD Rivera Diesel S.A.,,,
Asistente de soporte técnico N2 / La Victoria,GREEN SOLUTIONS GROUP,,,
Técnico en Mantenimiento de Plataformas,Inveritas Global Holdings Peru S.A.,,,
Mesa de ayuda,DMS Peru S.A.C,,,
asistente/a de márketing,Celper Group,,,
Analista de Créditos consumo  Urubamba,CAC SANTO DOMINGO DE GUZMAN L,,,
Jefe de Soporte Técnico,COLINANET S.A.,,,
Técnico de Soporte Junior,Alternativa Tecnologica SAC,,,
Analista de Planeamiento,Fabrica de Armas y Municiones del Ejercito SAC,,,
Operador de Rayos X / Régimen acuartelado 14x7/ Huamachuco,Prosegur,,,
Auxiliar de almacén,Huemura SAC,,,
Asesor Ventas,Fesepsa,,Presencial y remoto,
Ingeniero de Datos,Entel Connect Center,,Presencial y remoto,
Analista QA Funcional exp en APIS,INDRA,,Presencial y remoto,
Auxiliar de reparto,Premier Motors S.A.,,,
Asistente de Soporte Técnico Presencial,Pulso Corporación Médica,,,
tecnico en networking  horarios rotativos,VMwaresis S.A.C.,,,
Analista Funcional,Software Enterprise Services SAC,,Presencial y remoto,
"Auxiliar Administrativo(a), Digitador(a), Almacenero",RINOK COMPANY,,,
Ayudante de Almacén de Alimentos,Agrovision Peru Sac,,,
Asistente de Almacén / Villa El Salvador,Manpower,,,
Asesor O Agente De Ventas/ Inmobiliario,,,Presencial y remoto,
Se busca Promotor de tarjetas de créditos en Plaza Vea Lurin,Grupo Intercorp,,,
Financiera oh! Ejecutivo de Ventas Plaza Vea Ilo / part time o full time,Grupo Intercorp,,,
Soporte Técnico,Manpower,,,
Soporte Técnico,Manpower,,,
Asistente de Atención al Cliente y Caja,Grupo Tawa,,,
Analista de Información / sector minero,Manpower,,,
Docente Tiempo Completo / Ing. de Sistemas / Breña,Universidad Privada del Norte S.A.C.,,,
Analista programador/a de sistemas,Miscon Group,,,
Asistente Académico de Arquitectura,INSTITUTO CIENTIFICO DEL PACIFICO,,,
Rescatista para Mina,Grupo San Pablo,,,
Químico farmacéutico / Unidad Minera,Grupo San Pablo,,,
Operador de Monitoreo,Grupo San Pablo,,,
